Name,Shortname,Type,Sponsoring dept,Description,URL
Geffrye Museum,Geffrye Museum,Executive non-departmental public body,"Department for Culture, Media and Sport","The Geffrye Museum depicts the quintessential style of English middle-class living rooms. Its collections of furniture, textiles, paintings and decorative arts are displayed in a series of period rooms from 1600 to the present day.

The displays lead the visitor on a walk through time, from the 17th century with oak furniture and panelling, past the refined splendour of the Georgian period and the high style of the Victorians, to 20th century modernity as seen in a 1930s flat, a mid-century room in 'contemporary style' and a late-20th century living space in a converted warehouse.

The museum is set in elegant 18th century almshouses with a contemporary wing surrounded by attractive gardens, which include an award-winning walled herb garden and a series of period gardens.",http://www.geffrye-museum.org.uk/
Horniman Museum,Horniman Museum,Executive non-departmental public body,"Department for Culture, Media and Sport","We are the Horniman Museum and Gardens, an inspiring, surprising, family-friendly, free attraction in South London’s Forest Hill.

We’ve been open since Victorian times, when Frederick John Horniman first opened his house and extraordinary collection of objects to visitors. Since then, our collection has grown tenfold and includes internationally important collections of anthropology and musical instruments, as well as an acclaimed aquarium and natural history collection.

Unusually for such an important museum, you can see our collection up-close and face-to-face. You can even pick up, try on and play with some of our objects.

Our visitors come time and again to explore our free museum, take part in our activities and enjoy our 16-acre gardens. And they discover something fascinating and mesmerising every time. ",http://www.horniman.ac.uk/
Horserace Betting Levy Board,HBLB,Executive non-departmental public body,"Department for Culture, Media and Sport","The HBLB is a statutory body established by the Betting Levy Act 1961 and now operating in accordance with the provisions of the Betting, Gaming and Lotteries Act 1963 (as amended). Unlike some other non-departmental public bodies, the HBLB receives no central Government grant-in-aid and no National Lottery funding. Instead, it is required by the Act to collect a statutory levy from the horseracing business of bookmakers and the Tote successor company which it then distributes for the improvement of horseracing and breeds of horses and for the advancement of veterinary science and education",http://www.hblb.org.uk/
Imperial War Museum,IWM,Executive non-departmental public body,"Department for Culture, Media and Sport","IWM is unique in its coverage of conflicts, especially those involving Britain and the Commonwealth, from the First World War to the present day. We seek to provide for, and to encourage, the study and understanding of the history of modern war and 'wartime experience'. We are proud to be regarded as essential sights of London, Cambridgeshire and Greater Manchester.

IWM is a family of five museums: IWM London; IWM North in Trafford, Greater Manchester; IWM Duxford near Cambridge; the Churchill War Rooms in Whitehall, London; and the historic ship HMS Belfast, moored in the Pool of London on the River Thames. The information on this website tells you about the permanent displays, the archives, special exhibitions, forthcoming events, education programmes, corporate hospitality and shopping facilities.",http://www.iwm.org.uk/
Museum of Science and Industry,MOSI,Executive non-departmental public body,"Department for Culture, Media and Sport",,http://www.mosi.org.uk/
National Gallery,National Gallery,Executive non-departmental public body,"Department for Culture, Media and Sport","The National Gallery is governed by the Museum and Galleries Act 1992, under which it has charitable status but is exempt from the need to register with the Charity Commission.

Status

The Gallery is a non-departmental public body, whose sponsor body is the Department for Culture, Media and Sport. The Director of the National Gallery is also the Accounting Officer appointed by the Department for Culture, Media and Sport.

Governance

The Gallery is governed by a Board of Trustees. The establishment, constitution, functions and property etc. of the Board of Trustees can be found in Section 1 to the Museums and Galleries Act 1992. The general functions of the Board of Trustees can be found in Section 2 to the Museums and Galleries Act 1992.",http://www.nationalgallery.org.uk/
National Heritage Memorial Fund,NHMF,Executive non-departmental public body,"Department for Culture, Media and Sport","The National Heritage Memorial Fund (NHMF) was set-up in 1980 to save the most outstanding parts of our heritage at risk of loss to the nation, as a memorial to those who have given their lives for the UK.

The result is the national collection – an incredible world-class collection that will belong to the British people forever.

This treasure trove of essential Britain saved by NHMF is central to the story of our nation and its people. Every object and place is truly iconic and gives something tangible to our sense of identity.

NHMF is unique in its ability to provide financial assistance towards the acquisition, preservation and maintenance of such a wide range of heritage treasures from trains to masterpieces, wildlife havens and manuscripts.

The recent purchase of the Siegfried Sassoon Archive, for example, joins a diverse range of over 1,200 iconic objects and places which have been safeguarded by the NHMF over the last 30 years, including;

The Coenwulf Coin
The Macclesfield Psalter
The Mappa Mundi
The Blue Rigi
The Mary Rose
Flying Scotsman
The last surviving World War II destroyer, HMS Cavalier
Brecon Beacons National Park
Beamish Exhibition Colliery
Sir Walter Scott manuscripts
Antonio Canova’s ‘The Three Graces’
Wordsworth’s Dove Cottage
It is hard to think of such iconic heritage leaving the country or even simply rotting away, yet without the NHMF, many treasured items and places would have been lost.

The National Heritage Memorial Fund and its own history
After the Second World War, public appreciation of our national heritage was gradually forming against a backdrop of the loss of many country houses and the break-up of their estates. Despite this, the 1946 National Land Fund lay largely unused in the Treasury. The Fund was originally set up by the visionary Chancellor Hugh Dalton with a massive £50million to purchase land and buildings as “a thank-offering for victory and a war-memorial which would think finer than any work of art in stone of bronze”.

By 1957 it had been reduced to only £10million and the trigger which led to its revitalisation was the sale in 1977 of Mentmore House and its contents.

A new National Heritage Act was passed in 1980. It set up and independent board of Trustees, gave them the money remaining in the Land Fund as well as an annual grant. The National Heritage Memorial Fund was born.

This new Fund was for grants to help acquire, maintain or preserve and land, building or structure, or any object of collection which is of outstanding scenic, historic, aesthetic, architectural, scientific, or artistic interest. The ‘memorial’ title was kept to show that these grants are made to preserve in memory those who gave their lives for this country.

For the last 30 years, the Trustees of the Fund have followed these instructions. Their difficult task is to decide what should be saves within the limited resources, from within the very broad span of our National Heritage of land, buildings, documents, objects and works of art.

The National Heritage Memorial Fund and the Heritage Lottery Fund
In 1994, the NHMF and its Trustees were also given the major task of distributing the heritage share of Lottery money for good causes, which it now operates through the Heritage Lottery Fund (HLF).

The NHMF continues to act as the fund of last resort, being able to act very quickly in emergencies. In contrast, Heritage Lottery Fund offers opportunities for conserving our heritage with an even greater emphasis on improved access, learning and engagement.",http://search.hlf.org.uk/NHMFWeb/AboutTheNHMF/
National Lottery Commission,NLC,Executive non-departmental public body,"Department for Culture, Media and Sport","The National Lottery Commission is responsible for licensing and regulating the National Lottery.

We protect the integrity of the Lottery; protect players; and maximise funds to good causes. We also run the competition for the licence and select the operator of the Lottery.

The National Lottery Commission is a Non-Departmental Public Body, sponsored by the Department for Culture, Media and Sport. We operate at arm’s length from government and our decisions are independent. Our work is funded by the National Lottery Distribution Fund (NLDF) – the good causes portion of National Lottery ticket sales.

The coalition government announced in late 2010 that it intends merge the Commission with the Gambling Commission. In order to achieve cost savings, ahead of the merger we will be relocating from central London to the Gambling Commission’s office in Birmingham. The move will take place in January 2011.

Our seven Commissioners are appointed by the Secretary of State for Culture, Media and Sport and meet each month to make decisions about new Lottery licences and other developments affecting the Lottery. They also appoint our full-time ChiefExecutive.

The Commission has the following powers:

We run the competition process to select the operator of the Lottery.
We make sure that the operator meets the conditions of the licence.
We can take legal action if necessary. If the operator breaks the conditions of the licence, we can impose a financial penalty.Ultimately we could withdraw a licence, but that would only happen under extreme circumstances.",http://www.natlotcomm.gov.uk/
National Museum of Science and Industry,NMSI,Executive non-departmental public body,"Department for Culture, Media and Sport","The NMSI (National Museum of Science & Industry) group of
museums share a mission to engage people in a dialogue about
the history, present and future of human ingenuity in the fields of
science, technology, medicine, transport and media. ",http://www.nmsi.ac.uk/
National Museums Liverpool,Liverpool Museums,Executive non-departmental public body,"Department for Culture, Media and Sport","National Museums Liverpool is a museums and galleries group comprising a range of venues. We attracted over 2.5 million visitors in 2010.

Using all our assets - staff, collections and buildings - we enable millions of people, from all backgrounds, from all over the world to enjoy the benefits of engagement with a world-class museum service.",http://www.liverpoolmuseums.org.uk/
National Portrait Gallery,NPG,Executive non-departmental public body,"Department for Culture, Media and Sport","Founded in 1856, the aim of the National Portrait Gallery, London is ‘to promote through the medium of portraits the appreciation and understanding of the men and women who have made and are making British history and culture, and ... to promote the appreciation and understanding of portraiture in all media’.
The Gallery holds the most extensive collection of portraits in the world. The Collection is displayed in London and in a number of locations around the United Kingdom, including several houses managed by the National Trust. The Gallery is increasingly keen to find new ways to share the Collection through the National Programmes, as well as through this website.

Like other national museums, the Gallery is supported both by government and increasingly by a large number of individuals, companies, trusts and foundations, as well as by the receipts from ticketed exhibitions, shops, catering and events.

The Gallery aims to bring history to life through its extensive display, exhibition, research, learning, outreach, publishing and digital programmes. These allow us to stimulate debate and to address questions of biography, diversity and fame which lie at the heart of issues of identity and achievement.

The National Portrait Gallery aims to be the foremost centre for the study of and research into portraiture, as well as making its work and activities of interest to as wide a range of visitors as possible.",http://www.npg.org.uk/
Natural History Museum,NHM,Executive non-departmental public body,"Department for Culture, Media and Sport","Our vision is to advance our knowledge of the natural world, inspiring better care of our planet.

Our mission is to maintain and develop our collections, and use them to promote the discovery, understanding, responsible use and enjoyment of the natural world.",http://www.nhm.ac.uk/
Olympic Delivery Authority,ODA,Executive non-departmental public body,"Department for Culture, Media and Sport","The Olympic Delivery Authority (ODA) is the public body responsible for developing and building the new venues and infrastructure for the Games and their use after 2012.
One of the key responsibilities of the ODA is building the Olympic Park, where much of the action at London 2012 will take place.

The ODA's work is underpinned by six priority themes: design and accessibility, employment and skills, equality and inclusion, health, safety and security, sustainability, and legacy.

The ODA has its headquarters in Canary Wharf, together with the London 2012 Organising Committee of the Olympic Games and Paralympic Games (LOCOG).

It is led by John Armitt (Chairman) and Dennis Hone (ChiefExecutive).

A delivery partner has been appointed to work with the ODA to project manage the venues and infrastructure programme for the Games.

The ODA is also responsible for:

Building new permanent venues
Building arenas that will be relocated after the Games: Water Polo Arena, Riverbank Arena, Basketball Arena, Paralympic Tennis and Archery, Greenwich Arena and the indoor Shooting hall
Permanent works to existing sports venues, like Eton Dorney and Weymouth and Portland
Planning and delivery on both transport infrastructure and services to support the 2012 Games projects
Converting the Olympic Park for long-term use after the Games
Making sure the project sets new standards for sustainable development.
The ODA is planning Games-time and long-term use together to make sure the area will be regenerated, leaving housing, schools and health facilities for the local community after 2012 alongside world class sports facilities.

Legal status

The ODA was established by the London Olympic Games and Paralympic Games Act, which received Royal Assent in March 2006. The Act was passed to ensure the necessary planning and preparation for the Games can take place. It allows the ODA to:

Buy, sell and hold land
Make arrangements for building works and develop transport and other infrastructure
Develop a Transport Plan for the Games, with which other agencies must cooperate, and make orders regulating traffic on the Olympic Road Network
Be the local planning authority for the Olympic Park area.
As a public body, the ODA is accountable to Government, the GLA and other stakeholders for its work.",http://www.london2012.com/
Royal Armouries,RA,Executive non-departmental public body,"Department for Culture, Media and Sport","Royal Armouries is the United Kingdom’s National Museum of Arms and Armour, including artillery. As a museum we have a duty of care for these objects, to keep them, study them and increase our knowledge of them, so that this can be passed to future generations along with the objects themselves.

This knowledge can be shared with others who also collect arms and armour, we are actively involved with and support a number of groups committed to the study of the subject and its practical applications. As such we offer an enquiry service to the public and the commercial world alike and have often acted as consultants on a number of film and television projects.",http://www.royalarmouries.org/
Sir John Soane’s Museum,Sir John Soane’s Museum,Executive non-departmental public body,"Department for Culture, Media and Sport","Sir John Soane’s Museum is the idiosyncratic house-museum of the great Neo-Classical architect Sir John Soane (1753 – 1837) and still displays his collection of antiquities, furniture, models and paintings in the same state in which they were left at the time of his death as well as preserving over 30,000 architectural drawings and a fine Library.",http://www.soane.org/
Sports Grounds Safety Authority,SGSA,Executive non-departmental public body,"Department for Culture, Media and Sport","The Sports Grounds Safety Authority was established to build on the success of the Football Licensing Authority, and the critical role it played in transforming spectator safety at football grounds in the UK over the last 20 years. In our new role, we will continue to carry out our statutory functions under the Football Spectators Act 1989 in England and Wales, and expand our advisory functions in relation to other sports and internationally.

As the Sports Grounds Safety Authority we will help to create the conditions for safe and enjoyable experiences for spectators at all sports grounds, not only in England and Wales, but around the world.  We will provide trusted advice and guidance, and we will use our experience and commitment to drive continuous improvement. We will work in collaboration with our partners to educate and inform, and we will champion innovation in the structures and systems for safety management.

We will continue to act as the authority on all matters relating to sports grounds safety, and to offer our knowledge and advice on the application of Sports Grounds Safety publications (including the Green Guide and Safety Management) which are used by a range of sports nationally and internationally. We will also act as a source of authoritative advice in relation to Accessible Stadia, and we remain committed to ensuring all spectators can enjoy watching sport in safety, security and comfort.",http://www.safetyatsportsgrounds.org.uk/
UK Sport,UK Sport,Executive non-departmental public body,"Department for Culture, Media and Sport","Established by Royal Charter in 1997, UK Sport is responsible for investing around £100 million of public funds each year – from both the National Lottery and the Exchequer – in high performance sport. This money is now supplemented by the income from a private sponsorship scheme 'Team 2012'.

Accountable to the Department for Culture, Media and Sport (DCMS), UK Sport has a very clear remit at the ‘top end’ of Britain’s sporting pathway, with no direct involvement in community or school sport.

Based in London, it employs around 90 staff and is overseen by the UK Sport Board, comprising home country representatives and independent members, which meets every two months.",http://www.uksport.gov.uk/
VisitBritain,Visit Britain,Executive non-departmental public body,"Department for Culture, Media and Sport","VisitBritain is Britain’s national tourism agency, responsible for marketing Britain worldwide and developing Britain’s visitor economy.


Our mission: Building the value of tourism to Britain, working in partnership with the industry and nations and regions to generate additional visitor spend.

Our vision: To inspire the world to explore Britain.

Our strategy:
1. Inspire travellers from overseas to visit and explore Britain.
2. Deliver a global network to support tourism promotion overseas.
3. Advise Government and the industry on tourism, particularly on issues that affect our global competitiveness.
4. Maximise public investment through partner engagement and commercial activity.


Our funding
A non-departmental public body, funded by the Department for Culture, Media and Sport, we work with partners in the UK and overseas to ensure that Britain is marketed in an inspirational and relevant way around the world.

In 2011/2012 our grant-in-aid from the Department for Culture, Media and Sport will be £26.5 million.",http://www.visitbritain.com/
Wallace Collection,Wallace Collection,Executive non-departmental public body,"Department for Culture, Media and Sport","The Wallace Collection is a national museum which displays the wonderful works of art collected in the eighteenth and nineteenth centuries by the first four Marquesses of Hertford and Sir Richard Wallace, the son of the 4th Marquess. It was bequeathed to the British nation by Sir Richard's widow, Lady Wallace, in 1897.

Displayed at Hertford House, the main London townhouse of its former owners, the Wallace Collection presents its outstanding collections in a sumptuous but approachable manner which is an essential part of its charm.",http://www.wallacecollection.org/
Big Lottery Fund,BLF,Executive non-departmental public body,"Department for Culture, Media and Sport",,http://www.biglotteryfund.org.uk
British Film Institute,BFI,Executive non-departmental public body,"Department for Culture, Media and Sport",,http://www.bfi.org.uk
Sport England,Sport England,Executive non-departmental public body,"Department for Culture, Media and Sport",,http://www.sportengland.org
Committee on Radioactive Waste Management,CORWM,Advisory non-departmental public body,Department of Energy and Climate Change,"We provide independent scrutiny and advice to the UK governments on the long term management of higher activity radioactive wastes.

This includes:

Safe and secure interim storage
Final geological or other disposal",http://corwm.decc.gov.uk/
Fuel Poverty Advisory Group,FPAG,Advisory non-departmental public body,Department of Energy and Climate Change,"The Fuel Poverty Advisory Group (FPAG) for England is an advisory Non-Departmental Public Body, sponsored by DECC and comprising a wide range of member organisations. The Group consists of a Chairman and senior representatives from the energy industry, charities and consumer bodies. Each member represents their organisation, but is expected to take an impartial view.
The role of the Group is:
to consider and report on the effectiveness of current policies aiming to reduce fuel poverty
to consider and report on the case for greater co-ordination
to identify barriers to reducing fuel poverty and to developing effective partnerships – and to propose solutions
to consider and report on any additional policies needed to achieve a reduction in fuel poverty
to encourage key organisations to tackle fuel poverty
to consider and report on the results of work to monitor fuel poverty.
You can email the Fuel Poverty Advisory Group at fpag@decc.gsi.gov.uk  ",http://www.decc.gov.uk/en/content/cms/about/partners/public_bodies/fpag/fpag.aspx
Nuclear Liabilities Financing Assurance Board,NLFAB,Advisory non-departmental public body,Department of Energy and Climate Change,"DECC has created the independent Nuclear Liabilities Financing Assurance Board (NLFAB), to provide impartial scrutiny and advice on the suitability of the Funded Decommissioning Programme (FDP), submitted by operators of new nuclear power stations.
The Board will advise the Secretary of State on the financial arrangements that operators submit for approval, and on the regular review and ongoing scrutiny of funding.",http://www.decc.gov.uk/en/content/cms/meeting_energy/nuclear/new/waste_costs/nlfab/nlfab.aspx
Civil Nuclear Police Authority,CNPA,Executive non-departmental public body,Department of Energy and Climate Change,"Independence

The Civil Nuclear Police Authority is independent of the Constabulary and consists of eight members; all are appointed by the Secretary of State for Energy & Climate Change.
The Chairman, two independent members and a Police Advisor independent member are selected after application and interview with four members being recommended by the nuclear industry operating companies.
Unusually for a police authority, the Civil Nuclear Police Authority is the employer of all Constabulary personnel, both police officers and police staff.  All legal transactions involving the Constabulary are carried out in the Civil Nuclear Police Authority's name and under contracts and arrangements made by it.
Accountability

The Civil Nuclear Police Authority is primarily in place to ensure that the Constabulary polices effectively, efficiently and is responsive to the needs and priorities of the stakeholders they serve. The key responsibilities of the Civil Nuclear Police Authority therefore are to:
set the strategic direction for the Constabulary
ensure that the Constabulary has sufficient resources to carry out its functions in accordance with that strategic direction and
hold the Constabulary to account for the way in which it carries out those functions
We have put these building blocks of accountability - to the public and the government - at the foundations of our Annual Report.
Policing Strategy

Each year, we approve a Policing Plan produced by the Chief Constable setting out priorities, objectives and targets for the Constabulary over the coming year. This plan reflects both national policing and local priorities, identified through analysis of stakeholder requirements obtained after full consultation - including consultation with local stakeholder groups in areas where there is a relevant nuclear site. Operational Units and departments also develop plans on an annual basis outlining how they will contribute to the priorities, objectives and targets in the agreed Policing Plan.
Further information about these areas can be found on the Constabulary's website.
The Police Authority publishes this three year Policing Plan which identifies what we intend to achieve over the next three years, including a full explanation of the strategic planning framework.
How it works

As a statutory public body entrusted with significant resources and responsibilities, the Police Authority has a duty of 'stewardship', not only of public money, but also in relation to relevant sites and assets within our communities.
In discharging this duty we have a strong sense of how the Police Authority must carry out its work and the things that matter in discharging its key functions.
To this end we have identified a series of key principles:
Key Principles of the Authority:
We have the confidence and active support of all stakeholders including the Government, the nuclear operating companies, our staff and the general public to whom we are responsible and accountable
We maintain total security in accordance with our responsibilities
We ensure that the Constabulary delivers a policing service that is effective and efficient, ethical and professional, responsive to the needs of all our stakeholders
We adequately resource the Constabulary, taking into account the current and anticipated needs of stakeholders
We are positive about diversity and aim to maximise the contributions of all employees.
We aim to build a Constabulary that resembles the communities that it polices and one that is free from racism, sexism and any other form of discrimination
We ensure that the Constabulary recognises the rights and fundamental freedoms of individuals and communities, aiming at all times to act proportionately, reasonably and in a way that is justified by the circumstances
We exercise strong corporate governance, scrutinising performance and striving continually for self improvement, learning from past experience and incorporating good practice from elsewhere
In embedding these key principles we aim to ensure that:
Strategic plans for governance and accountability are in place
We are visible to, and effectively engage with, stakeholders
We have effective, regular collaboration with all stakeholders to ensure we respond to their changing needs
We have a rigorous scrutiny system in place to hold the Chief Constable and Constabulary to account
We maximise efficiency and improve effectiveness
The Police Authority has started with the basics, establishing rigorous control mechanisms for the proper management of resources and governance of the Constabulary. Installing audit and risk management structures to provide internal checks that complement those outside the organisation, we have worked to ensure that any expenditure is reasonable, necessary and ultimately makes a positive contribution to the operational policing service provided by the Constabulary.
In the years that follow we will continue to build on this firm foundation and establish more refined processes and ways of working to maximise efficiency and effectiveness, demonstrating good employment practice and strong corporate governance.
What Next?

The previous sections have looked back over the past 12 months and highlighted things that have been achieved or established. However, as the strategic responsibility of the Civil Nuclear Police Authority involves an ongoing cycle, this retrospective assessment is only part of the job.
Taking the past year into account, it is necessary to look ahead at those areas of planned activity that will continue to keep the Authority and the Constabulary focused on the longer-term direction and objectives.
There are many things already on the strategic 'horizon', some of which include:
Review of practices and policy in light of the matters raised in Her Majesty's Inspector of Constabulary's baseline assessment;
Instigation of rigorous Best Value Reviews of the Constabulary Headquarters and Training functions to identify efficiency gains and maximisation of resource allocation;
A strategic conference in the autumn, looking ahead in light of the government's energy review findings and its implications for the long-term future and
Consideration of the Workforce Modernisation Programme and its potential application to the Constabulary.",http://www.cnpa.police.uk/
Coal Authority,Coal Authority,Executive non-departmental public body,Department of Energy and Climate Change,"The Coal Authority owns, on behalf of the country, the vast majority of the coal in Great Britain, as well as former coal mines.
The Coal Authority is an NDPB (non-departmental public body) sponsored by DECC [External link](Department of Energy and Climate Change), and was established by Parliament in 1994 to undertake specific statutory responsibilities",http://coal.decc.gov.uk/
Committee on Climate Change,CCC,Executive non-departmental public body,Department of Energy and Climate Change,"The Committee on Climate Change (CCC) is an independent body established under the Climate Change Act to advise the Government on emissions targets, and to report to Parliament on progress made in reducing greenhouse gas emissions.

The CCC’s Priorities

Provide independent advice to Government on setting and meeting carbon budgets and targets.
Monitor progress in reducing emissions and achieving carbon budgets.
Conduct independent research and analysis into climate change.
Engage with  representatives interested in climate change from across the UK in order to share research and information on climate change and gain input into our analysis.
The CCC's Corporate Plan for 2011-2014 sets out our current and future work priorities.

The March 2010 Framework document was drawn up by the Department of Energy and Climate Change (DECC), Department for Environment, Food and Rural Affairs (Defra) and the Devolved Administrations in consultation with the CCC. This sets out the broad framework within which the CCC operates and covers the role of the CCC and ASC, their governance and accountability, management and financial responsibilities.

The Adaptation Sub-Committee (ASC) has been set up, which will sit within the CCC. The ASC is chaired by Lord Krebs, who is also a member of the CCC. The ASC’s function is to provide expert advice and scrutiny of the Government's programme for adaptation in order to help prepare the UK for the impacts of climate change.",http://www.theccc.org.uk/
Nuclear Decommissioning Authority,NDA,Executive non-departmental public body,Department of Energy and Climate Change,"The Nuclear Decommissioning Authority (NDA) is a non-departmental public body created through the Energy Act 2004. We are a strategic authority that owns 19 sites and the associated civil nuclear liabilities and assets of the public sector, previously under the control of UKAEA and BNFL.
We are responsible for
decommissioning and cleaning up these civil nuclear facilities
ensuring that all the waste products, both radioactive and non-radioactive, are safely managed
implementing Government policy on the long-term management of nuclear waste
developing UK-wide nuclear Low Level Waste (LLW) strategy and plans
scrutinising decommissioning plans of British Energy
Our purpose is to deliver the decommissioning and clean-up of the UK's civil nuclear legacy in a safe and cost-effective manner, and where possible to accelerate programmes of work that reduce hazard. We aim to do this by introducing innovation and contractor expertise through a series of competitions.
We report to the Department of Energy and Climate Change (DECC); for some aspects of our functions in Scotland we are responsible to Scottish Ministers.
 ",http://www.nda.gov.uk/
Animal Health Veterinary Laboratories Agency,AHVLA,Executive Agency,"Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency (AHVLA) is anExecutive agency working on behalf of the Department for the Environment, Food & Rural Affairs (Defra), Scottish Government and Welsh Government. The agency was formed on 1 April 2011, following the merger of Animal Health and the Veterinary Laboratories Agency.

Our role is to safeguard animal health and welfare as well as public health, protect the economy and enhance food security through research, surveillance and inspection.

We primarily work to prevent and control animal disease across Great Britain through activities on farms, at markets and other livestock-related premises, and through specialist veterinary laboratory and scientific services. We are also responsible for advising policy-making departments and providing veterinary evidence base for animal health and welfare policy decisions.

Our range of functions include research and consultancy, the surveillance and management of disease controls, including import and export controls, and protecting the nation’s food supply through egg marketing and dairy hygiene inspections.

We also have global responsibilities, notably acting as the national, European and international reference laboratory for several exotic and zoonotic notifiable diseases, and protecting CITES listed endangered species through our wildlife registration and licensing role.",http://www.defra.gov.uk/ahvla/
"Centre for Environment, Fisheries and Aquaculture Science",Cefas,Executive Agency,"Department for Environment, Food and Rural Affairs","Cefas makes an important contribution to securing healthy and sustainable marine and freshwater environments so that current and future generations can prosper.
Our vision is to make a real difference for society, as recognised leaders in marine and aquatic science.

As the UK's largest and most diverse applied marine science centre, we help to shape and implement policy through our internationally renowned science and collaborative relationships that span the EU, UK government, non-governmental organisations, research centres and industry.

Our work takes us from freshwater to the open ocean, and includes both wild and farmed fish. Our influence and leadership spans a wide spectrum of issues, including:

climate change impacts and adaptation
marine planning and environmental licensing
sustainable fisheries management
marine biodiversity and habitats
fish and shellfish health and hygiene
emergency response.
We support this by collecting, managing and interpreting environmental, biodiversity and fisheries data.",http://www.cefas.defra.gov.uk/
Food and Environment Research Agency,FERA,Executive Agency,"Department for Environment, Food and Rural Affairs","The Food and Environment Research Agency's over arching purpose is to support and develop a sustainable food chain, a healthy natural environment, and to protect the global community from biological and chemical risks.

Our role within that is to provide robust evidence, rigorous analysis and professional advice to Government, international organisations and the private sector.

Climate change, food security and environmental sustainability are presenting the UK and indeed all other countries around the world, with significant, complex and often interrelated challenges. The Food and Environment Research Agency plays a vital role, increasingly on a world stage, in anticipating the issues, assessing the risks and gathering the evidence to guide policy response.

To meet these challenges The Food and Environment Research Agency brings together expertise in

policy issues - particularly relating to seed, plant and bee health
inspection services necessary to ensure protection for seeds, crops and horticulture
multi disciplinary science to rapidly diagnose threats, evaluate risk and inform policy in food and environmental areas
responding to and recovering from unforeseen or emergency situations
Fera has over 40,000 customers and 1000 collaboration partners spread over some 102 countries. This stakeholder base is made up from Government, academia, industry and commerce and, whilst a significant proportion of Fera's work is UK based, it has global reach across the EU, wider Europe, and five of the other six continents, the exception being Antarctica.",http://www.fera.defra.gov.uk/
Rural Payments Agency,RPA,Executive Agency,"Department for Environment, Food and Rural Affairs","The Rural Payments Agency’s work helps the Department for Environment, Food and Rural Affairs to encourage a thriving farming and food sector and strong rural communities.

RPA makes Common Agricultural Policy support payments, traces livestock and carries out inspections. We manage over 40 schemes, paying farmers and traders more than £2 billion each year. To administer such a wide range of schemes and meet EU requirements we manage information on more than two million land parcels.

Three strategic priorities drive everything we do; customer service, effectiveness and efficiency. These priorities help us improve our performance in the most cost-effective way.",http://rpa.defra.gov.uk/
Veterinary Medicines Directorate,VMD,Executive Agency,"Department for Environment, Food and Rural Affairs","The vision of the VMD is the responsible, safe and effective use of veterinary medicinal products. In working towards achieving this vision the VMD aims to protect public health, animal health, the environment and promote animal welfare by assuring the safety, quality and efficacy of veterinary medicines.",http://www.vmd.defra.gov.uk/
Consumer Council for Water,CCW,Executive non-departmental public body,"Department for Environment, Food and Rural Affairs","The Consumer Council for Water (CCWater) represents water and sewerage consumers in England and Wales. It took over from WaterVoice on 1 October 2005.

We provide a strong national voice for consumers. We have offices throughout England and Wales so that we can keep in close contact with companies that provide water and sewerage services, and with consumers themselves.

Our job is to make sure that the consumers’ collective voice is heard in national water debate and that consumers remain at the heart of the water industry.

We will also take up consumers’ complaints if they have tried and failed to resolve issues with their water companies. We aim to settle 70% of complaints within 20 working days and settle 85% within 40 working days. Since CCWater was formed we have been highly successful in achieving these aims.",http://www.ccwater.org.uk/
Environment Agency,EA,Executive non-departmental public body,"Department for Environment, Food and Rural Affairs","We are an Executive Non-departmental Public Body responsible to the Secretary of State for Environment, Food and Rural Affairs and a Welsh Government Sponsored Body responsible to the Minister for Environment and Sustainable Development.

Our principal aims are to protect and improve the environment, and to promote sustainable development. We play a central role in delivering the environmental priorities of central government and the Welsh Government through our functions and roles.",http://www.environment-agency.gov.uk/
Gangmasters Licensing Authority,GLA,Executive non-departmental public body,"Department for Environment, Food and Rural Affairs","The Gangmasters Licensing Authority (GLA) regulates those who supply labour or use workers to provide services in agriculture, forestry, horticulture, shellfish gathering and food processing and packaging.",http://gla.defra.gov.uk/
Joint Nature Conservation Committee,JNCC,Executive non-departmental public body,"Department for Environment, Food and Rural Affairs","JNCC is the public body that advises the UK Government and devolved administrations on UK-wide and international nature conservation.

Our work helps maintain and enrich biological diversity and conserve geological features. It also helps sustain natural systems, which provide the core “services” we all depend on like food, fresh water and clean air. In this way they contribute to economic growth and social well-being and are integral to sustainable development

Good policy-making, planning, development and risk management all depend on reliable, up-to-date information about biodiversity status and trends.  Our role is to provide evidence, information and advice so decisions can be made that protect our natural resources and systems.

JNCC itself is a forum that brings together the UK’s four country conservation bodies. We advise Government and a wide range of bodies to help join up policy and to deliver a strong and cost-effective evidence base by helping to see that the best possible return is achieved from investment in research and surveillance in the UK and internationally.",http://jncc.defra.gov.uk/
