status,old_url,title,summary,body,publication_type,policy_1,policy_2,document_series,organisation,publication_date,ignoredate,isbn,urn,command_paper_number,i,jsonattach
new,http://www.dft.gov.uk/publications/high-speed-rail-addendum-2,High speed rail: Investing in Britain’s future consultation summary report addendum 2,A summary of seven hundred and twenty two (722) responses submitted online that were not fully analysed.,"## Summary

On 10 January 2012, the Government announced its decision to develop a new national high speed rail network following the completion of a major public consultation.

On 29 May, the consultation responses were published online. We have discovered, since then, that a small number of responses submitted online (722 of around 55,000 submitted in total) were not analysed fully by Dialogue by Design (DbyD) due to technical errors. For these responses, the answers to one or more of the seven consultation questions were omitted from DbyD's analysis. In total, approximately 0.4% of answers provided to individual consultation questions were affected.

This addendum report is a supplementary analysis by DbyD of the seven hundred and twenty two (722) affected consultation responses submitted online. The report concludes that the affected responses 'do not provide any information that was not already included in the previous Consultation Summary Report or would have made a difference to the substantive content or balance of that report'.

The Parliamentary Under Secretary of State for Transport issued a statement about this to Parliament on 18 September 2012 explaining that the cause has been identified as technical errors in transferring data captured from online consultation responses to the consultation analysis database held by DbyD.

All those who submitted the responses affected have been contacted with details of their particular cases to notify them and apologise.

## Download document

  * [High speed rail: Investing in Britain's future consultation summary report addendum 2 (PDF, 591 KB)](http://assets.dft.gov.uk/publications/high-speed-rail-addendum-2/high-speed-rail-addendum-2.pdf)

## Read the written ministerial statement

  * [High Speed Rail: Phase 1 Consultation Update, written statement, 18 September 2012](http://www.dft.gov.uk/news/statements/baker-20120918b)

## Related documents

  * [High speed rail: investing in Britain's future consultation summary report](http://www.dft.gov.uk/publications/hs2-consultation-summary/)
  * [High speed rail: Investing in Britain's future consultation summary report addendum](http://www.dft.gov.uk/publications/high-speed-rail-addendum/)
  * [High speed rail: Investing in Britain's future - the Government's decisions](http://www.dft.gov.uk/publications/hs2-governments-decisions/)
  * [High speed rail: Investing in Britain's future - decisions and next steps](http://www.dft.gov.uk/publications/hs2-decisions-and-next-steps/)
  * [Review of the Government's strategy for a national high speed rail network](http://www.dft.gov.uk/publications/hs2-review-of-strategy/)
  * [High speed rail strategic alternatives study: Update following consultation](http://www.dft.gov.uk/publications/hs2-strategic-alternatives-study-update/)
  * [Review of strategic alternatives to High Speed Two](http://www.dft.gov.uk/publications/hs2-review-of-strategic-alternatives/)
  * [Economic case for HS2: Updated appraisal of transport user benefits and wider economic benefits](http://www.dft.gov.uk/publications/hs2-economic-case-appraisal-update/)
  * [Economic case for HS2: Value for money statement](http://www.dft.gov.uk/publications/hs2-economic-case-value-for-money/)
  * [Review of the technical specification for high speed rail in the UK](http://www.dft.gov.uk/publications/hs2-review-of-technical-specification/)
  * [Review of possible refinements to the proposed HS2 London to West Midlands route](http://www.dft.gov.uk/publications/hs2-review-of-possible-route-refinements/)
  * [Summary of effects of HS2 London to West Midlands route refinements](http://www.dft.gov.uk/publications/hs2-effects-of-route-refinements/)
  * [Review of HS2 London to West Midlands route selection and speed](http://www.dft.gov.uk/publications/hs2-review-of-route-selection-and-speed/)
  * [Review of HS2 London to West Midlands appraisal of sustainability](http://www.dft.gov.uk/publications/hs2-review-of-appraisal-of-sustainability/)
  * [Review of property issues](http://www.dft.gov.uk/publications/hs2-review-of-property-issues/)
  * [HS2 revised line of route maps](http://www.dft.gov.uk/publications/hs2-maps-20120110/)
  * [Do you think you are affected by the HS2 route?](http://www.dft.gov.uk/publications/hs2-are-you-affected-by-the-route/)

## Background documents

  * [High speed rail: Investing in Britain's future consultation, 28 February 2011](http://www.dft.gov.uk/consultations/dft-20110228)",independent-reports,developing-a-new-high-speed-rail-network,,hs2-decision,department-for-transport,24-Sep-2012,2012-09-24,,,,194,"[{""link"": ""http://assets.dft.gov.uk/publications/high-speed-rail-addendum-2/high-speed-rail-addendum-2.pdf"", ""title"": ""High speed rail: Investing in Britain\u2019s future consultation summary report addendum 2 (PDF \u2013 591 KB)""}]",4481
new,http://www.dft.gov.uk/publications/hs2-property-compensation-london-west-midlands,High Speed Two:  Property and Compensation for London - West Midlands video,Video giving information about the High Speed Two property and compensation for London - West Midlands residents.,"## Transcript

HS2 will be a national high-speed rail network linking Birmingham, Manchester and Leeds with London and Heathrow. This video sets out the property and compensation proposals for the first stage of the network between London and the West Midlands.

HS2 will bring transformational benefits to the UK: major investment; new jobs; regeneration in cities; improved connectivity, faster journeys and freeing up capacity on existing rail lines, which are becoming increasingly congested.

But such a major project will also have environmental impacts and affect local property markets. The government has already worked hard to minimise the impact of HS2 on the landscape, protecting the countryside and local communities as far as possible by adding more tunnels and making changes to the proposed route between London and Birmingham.

Current law provides appropriate compensation for the vast majority of infrastructure projects.
HS2 will be an exceptional construction project - the biggest seen in the UK since Victorian times. Because of the exceptional nature of HS2 we believe it is right to go above and beyond what is set out in law.

So what is being proposed?

The six key elements of the government's proposals to help those affected by HS2 are as follows:

### Proposal 1: a streamlined advanced purchase

This simplifies the compensation process for property owners in HS2's safeguarded area; this is land that needs to be protected from any other conflicting developments.

### Proposal 2: a voluntary purchase scheme

This is for rural areas where the line is not in deep bored tunnels. Property owners within 120 metres of either side of the line, but outside the safeguarded area, could ask the government to buy their property for its unblighted market value, that is what it would have been worth if there had been no plans for HS2.

### Proposal 3: a sale and rent-back scheme

This would give greater flexibility for the homeowners whose properties need to be demolished. They could sell their properties to the Government, but remain living in them as tenants until the properties are required.

### Proposal 4: a long term hardship scheme

This would provide cover for properties beyond the voluntary purchase zone. It would help those who have a strong personal need to move but, because of HS2, cannot sell their home other than at a significant loss.

### Proposal 5: properties above tunnels

To provide confidence in properties above tunnels the Government will offer before and after surveys and settlement deeds and guarantee forever the rectification costs of any settlement or subsidence issues caused to properties by tunnelling.

### Proposal 6: Social rented housing

The government will work with local authorities, housing associations and affected tenants to develop a strategy to replace any social rented housing lost as a result of HS2.

The Government's proposals are designed to ensure that property owners and occupiers receive as much certainty as possible, as early as possible.

The government would like your views on these proposals. For more information please visit [http://highspeedrail.dft.gov.uk/](http://highspeedrail.dft.gov.uk/).

More details are contained in the Government's Property and the Consultation document are available at this web address [on screen]

  * [http://highspeedrail.dft.gov.uk/](http://highspeedrail.dft.gov.uk/)

Copies of the consultation document can also be obtained free of charge by calling 0300 123 1102.

You can respond to the consultation in a number of ways - online, with a response form, by post or by email.

If you have any further queries you can email [HS2Enquiries@HS2.org.uk](mailto:HS2Enquiries@HS2.org.uk).

Or call 020 7944 4908.

**And remember, The consultation closes on 31 January 2013.**

## Related documents

  * [Government unveils generous HS2 compensation package](http://www.dft.gov.uk/news/press-releases/dft-press-20121025a)
  * [High Speed Two - Assistance and compensation for home owners and occupiers on the London - West Midlands Route](http://www.dft.gov.uk/news/statements/mcloughlin-20121025a)",promotional-material,developing-a-new-high-speed-rail-network,,,department-for-transport,25-Oct-2012,2012-10-25,,,,195,[],4136
new,http://www.dft.gov.uk/publications/iag-security-of-carriage-of-dangerous-goods-by-road-and-rail,List of members of the Industry Advisory Group for the Security of Carriage of Dangerous Goods by Road and Rail Industry,An industry advisory group for the security of transport of dangerous goods by road and rail.,"The Department for Transport has set up an industry advisory group for the security of transport of dangerous goods by road and rail, to develop and monitor the implementation of these security measures and the guidance that goes with them.

  * Agricultural Industries Confederation
  * Association of International Courier and Express Services
  * British Coatings Federation
  * British Compressed Gases Association
  * British International Freight Association
  * Chemical Business Association
  * Chemical Industries Association
  * Confederation of British Industry
  * Direct Rail Services
  * DB Shenker
  * Eurotunnel
  * Federation of Petroleum Suppliers Ltd
  * Freight Transport Association
  * Freightliner
  * GB Railfreight
  * National Chemical Emergency Centre
  * Network Rail
  * Private Wagon Federation
  * Radioactive Materials Transport Users Committee
  * Rail Freight Group
  * Road Haulage Association
  * UK Petroleum Industry Association
  * UKLPG

## Government

  * Department for Transport
  * Cabinet Office
  * Home Office
  * Department for Business, Innovation & Skills
  * Ministry of Defence
  * Office for Nuclear Regulation
  * CPNI
  * Northern Ireland Health and Safety Executive
  * Scottish Executive
  * Welsh Assembly

## Police

  * British Transport Police
  * Metropolitan Police
  * National Counter Terrorism Security Office

## Unions

  * Associated Society of Locomotive Engineers Nat Union
  * National Union of Rail, Maritime and Transport Workers (RMT)
  * Transport and General Workers Union
  * Transport Salaried Staffs Assoc.",guidance,making-sure-uk-airports-and-airlines-are-safe-secure-and-competitive-while-reducing-their-impacts-on-the-environment-and-communities,providing-effective-regulation-of-freight-transport,transporting-dangerous-goods,department-for-transport,8-May-2009,2009-05-08,,,,47,[],1592
new,http://www.dft.gov.uk/publications/inca-downloads-and-user-manuals,INCA user manuals and downloads,INCA has three user manuals available to download.,"## User Manuals

INCA has three user documents.

  * [A guide for project managers (PDF, 303 KB)](http://assets.dft.gov.uk/publications/inca/INCA-4.1-project-managers-guide.pdf)
  * [INCA release notes (PDF, 28 KB)](http://assets.dft.gov.uk/publications/inca/INCA-4.1-release-notes.pdf)
  * [INCA software user manual (PDF, 1781 KB)](http://assets.dft.gov.uk/publications/inca/INCA-4.1-user-manual.pdf)

## Downloads

INCA licence holders can download updates using their user ID and password.

  * Current INCA release:[INCA 4.1 release](http://www.dft.gov.uk/inca/downloads/release)",guidance,managing-improving-and-investing-in-the-road-network,,,department-for-transport,9-Oct-2012,2012-10-09,,,,48,"[{""link"": ""http://assets.dft.gov.uk/publications/inca/INCA-4.1-project-managers-guide.pdf"", ""title"": ""A guide for project managers (PDF \u2013 303 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/inca/INCA-4.1-release-notes.pdf"", ""title"": ""INCA release notes (PDF \u2013 28 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/inca/INCA-4.1-user-manual.pdf"", ""title"": ""INCA software user manual (PDF \u2013 1781 KB)""}]",584
new,http://www.dft.gov.uk/publications/intelligent-links,Transport Direct itelligent links,Information about Transport Direct's intelligent links.,"You can use intelligent links on your website to give directions to any number of destinations of your choosing. Intelligent links open Transport Direct's journey planning input page with your destination pre-set, like this: [Get directions](http://www.transportdirect.info/transportdirect/en/journeyplanning/jplandingpage.aspx?&id=bgsite&d=402136,286474&dn=Little%20Nibble%20Cafe)

Here are two examples:

  * [Corfe Castle: How to get here (below map, under 'Plan your visit')](http://www.nationaltrust.org.uk/corfe-castle/how-to-get-here/%20)
  * [Lower Red Lion, St Albans (click Transport Direct logo in 'How to get there' section)](http://fancyapint.com/pubs/pub3577.html)

Creating an intelligent link is easy. If you have several destinations and want to create a link for each one, download this [Excel link generator](http://assets.dft.gov.uk/publications/intelligent-links/intelligentlink.xls), which automates the process.

For just one link, use the following template link and follow the two steps described below: http://www.transportdirect.info/web2/journeyplanning/jpLandingPage.aspx?&id=bg2012&d= 526594,179632&dn=Royal+Albert+Hall

  * Change 526594,179632 to the X,Y co-ordinates of your destination (you can convert a postcode into co-ordinates with websites such as [Streetmap](http://www.streetmap.co.uk/))
  * Change Royal+Albert+Hall to the name of your destination. You can also change the text ""Get directions"" to anything you like, if you wish.

In HTML, the link would look something like this:

<a href=""http://www.transportdirect.info/web2/journeyplanning/jpLandingPage.aspx?&id=bg2012&d=526594,179632&dn=Royal+Albert+Hall"" target=_blank&rt;Get directions</a> (The target=_blank command will make Transport Direct open in a new browser window, so that your visitor doesn't 'lose' the page they were looking at).

For more ways to add Transport Direct functionality to your website, download our [zip file of PDF helpsheets](http://www.transportdirect.info/Web2/Downloads/Transport_Direct_Helpsheets.zip).",guidance,improving-local-transport,,background-to-transport-direct,department-for-transport,12-Jul-2007,2007-07-12,,,,49,[],2039
new,http://www.dft.gov.uk/publications/journey-search-boxes,Transport Direct journey search boxes,Overview of Transport Direct journey search boxes.,"You can add a Transpoort Direct journey searchbox to your website to give directions to your customers or visitors. This can be a simple form, like the cycle planner one below or, if you have the necessary skills, a more elaborate design, like the Gatwick Airport planner.

![](http://www.dft.gov.uk/publications/files/2007/07/cycleplanner-450px.jpg)
![](http://www.dft.gov.uk/publications/files/2012/09/gatwick-planner-500px.jpg)

To download a journey searchbox, see the [Tips and Tools](http://www.transportdirect.info/web2/tools/home.aspx?abandon=true&repeatingloop=Y) section of the Transport Direct website.

Our [technical guide (PDF, 631 KB)](http://www.transportdirect.info/Web2/downloads/BusinessLinksTechnicalGuide.pdf) gives some tips about you how you can customise your search box - both in terms of how it looks (e.g to fit your company branding) and how it works (e.g to specify an arrival time if you're giving directions to an event).",guidance,improving-local-transport,,background-to-transport-direct,department-for-transport,12-Jul-2007,2007-07-12,,,,51,[],960
new,http://www.dft.gov.uk/publications/key-metrics-and-statistics,Transport Direct key metrics and statistics,Usage statistics for Transport Direct.,"Transport Direct's usage continues to grow steadily month on month. The pie chart below shows user session figures for August 2012. Since its launch in December 2004, Transport Direct has achieved over 110 million user sessions.

![Transport Direct pie chart](http://www.dft.gov.uk/publications/files/2012/09/transport-direct-pie-chart.jpg)

The [Transport Direct Portal](http://www.transportdirect.info) provides a one-stop-shop for users to make intelligent travel choices based on its rich set of travel and transport information and services. Part of connecting people to places (Transport Direct's strapline) is to provide information on those places. This gives context to the journey by providing, for example, a map showing the location of a bus stop or a list of the nearest car parks to the destination. Location information and travel news both help the user to make intelligent travel choices and, as such, make better use of the transport infrastructure.

Transport Direct achieves an average of:

  * 378,000 user sessions per week
  * 2,000,000 pages per week
  * 12,500 mobile pages per week
  * 5,300 mobile user sessions per week
  * 10,100 Digital TV Web pages per week
  * 830 Digital TV User sessions per week

A set of Key Performance Indicators (KPIs) were set out in Transport Direct's original business plan in order to assess the effectiveness of Transport Direct, including:

  * Initial achievement of one million unique visitor sessions in the first year of operation to confirm visibility and usage. This was achieved in June 2005, six months after launch.
  * A goal of ten million unique visitor sessions by 2006 to establish Transport Direct as a major source of travel and transport information. This was achieved on 1st December 2006.

Transport Direct developed the Spectator Journey Planner for the 2012 Olympics and final usage was just short of 4 million sessions with almost 2.75 million unique users.",guidance,improving-local-transport,,background-to-transport-direct,department-for-transport,29-Jun-2007,2007-06-29,,,,52,[],1947
new,http://www.dft.gov.uk/publications/laidlaw-inquiry-interim-report,The Laidlaw Inquiry into the InterCity West Coast Franchise - interim report,The interim report of the independent inquiry in the department's handling of the franchise process for the Intercity West Coast (ICWC) franchise.,"## Summary

Today the interim report of the independent inquiry in the department's handling of the franchise process for the Intercity West Coast (ICWC) franchise has been published.

The review is being led by the Chief Executive of Centrica, Sam Laidlaw, who is a non executive director on the Department for Transport Board.

## Download document

  * [Laidlaw report (PDF 196 KB)](http://assets.dft.gov.uk/publications/laidlaw-report/laidlaw-report.pdf)
  * [Laidlaw cover letter (PDF 232 KB)](http://assets.dft.gov.uk/publications/laidlaw-report/laidlaw-cover-letter.pdf)
  * [Laidlaw report appendices (PDF 295 KB)](http://assets.dft.gov.uk/publications/laidlaw-report/laidlaw-appendices.pdf)",independent-reports,expanding-and-improving-the-rail-network,,,department-for-transport,29-Oct-2012,2012-10-29,,,,197,"[{""link"": ""http://assets.dft.gov.uk/publications/laidlaw-report/laidlaw-report.pdf"", ""title"": ""Laidlaw report (PDF 196 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/laidlaw-report/laidlaw-cover-letter.pdf"", ""title"": ""Laidlaw cover letter (PDF 232 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/laidlaw-report/laidlaw-appendices.pdf"", ""title"": ""Laidlaw report appendices (PDF 295 KB)""}]",699
new,http://www.dft.gov.uk/publications/list-of-bus-operators,"List of bus operators in England claiming Smartcard, Automatic Vehicle Location or Low Carbon Emission incentives","A list of bus operators claiming Smartcard, Automative Vehicle Location (AVL) or Low Carbon Emission (LCEB) incentives.","## Summary

This document features a list of bus operators claiming Smartcard, Automative Vehicle Location (AVL) or Low Carbon Emission (LCEB) incentives as part of the Bus Service Operators Grant (BSOG).

## Download documents

  * [List of bus operators in England claiming Smartcard, Automatic Vehicle Location or Low Carbon Emission incentives (PDF, 60 KB)](http://assets.dft.gov.uk/publications/bsog-list-of-bus-operators/bsog-list-of-bus-operators.pdf)

## Related documents

  * [Bus service operator grants](http://www.dft.gov.uk/topics/public-transport/buses/bsog)",promotional-material,improving-local-transport,,background-to-the-bus-service-operators-grant-bsog,department-for-transport,17-Sep-2012,2012-09-17,,,,198,"[{""link"": ""http://assets.dft.gov.uk/publications/bsog-list-of-bus-operators/bsog-list-of-bus-operators.pdf"", ""title"": ""List of bus operators in England claiming Smartcard, Automatic Vehicle Location or Low Carbon Emission incentives (PDF \u2013 60 KB)""}]",573
new,http://www.dft.gov.uk/publications/local-authority-major-schemes,Local authority major schemes,Major transport schemes.,"* [Decisions on 25 local authority transport major schemes](http://www.dft.gov.uk/publications/local-major-transport-scheme-decisions/), 14 December 2011
  * [Local authority major transport schemes](http://www.dft.gov.uk/publications/local-major-transport-schemes), 4 August 2011
  * [Investment in Local Major Transport Schemes: Update](http://www.dft.gov.uk/publications/investment-in-local-major-transport-schemes-update/), 14 April 2011
  * [Investment in Local Major Transport Schemes](http://www.dft.gov.uk/publications/investment-in-local-major-transport-schemes/), 26 October 2010

## Download

  * [DIRECTS road charging research (PDF 394 KB)](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/directsroadchargingresearch.pdf)
  * [The Evaluation of Major Local Authority Transport Projects: A Guide (PDF, 427 KB)](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/pdfevalmajlocautranpro.pdf)
  * [Guidance for Local Authorities seeking Government funding for major transport schemes](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/majorschemeguide/)
  * [Local Transport Major Scheme Information (PDF, 57 KB)](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/majorscheme.pdf)
  * [Procedures for dealing with optimism bias in transport planning](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/proceduresfordealingwithopti3687)
  * [Summary of responses to consultations on local authority major transport schemes](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/summary)
  * [Transport Analysis Guidance (WebTAG)](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/transportanalysisguidancewebtag)

## Related documents

  * [Monitoring and Evaluation Framework for Local Authority Major Schemes](http://www.dft.gov.uk/publications/evaluation-local-major-schemes/)",guidance,improving-local-transport,,background-to-local-major-transport-schemes,department-for-transport,25-Oct-2004,2004-10-25,,,,55,"[{""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/directsroadchargingresearch.pdf"", ""title"": ""DIRECTS road charging research (PDF 394 KB)""}, {""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/pdfevalmajlocautranpro.pdf"", ""title"": ""The Evaluation of Major Local Authority Transport Projects: A Guide (PDF \u2013 427 KB)""}, {""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/majorschemeguide/"", ""title"": ""Guidance for Local Authorities seeking Government funding for major transport schemes""}, {""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/majorscheme.pdf"", ""title"": ""Local Transport Major Scheme Information (PDF \u2013 57 KB)""}, {""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/proceduresfordealingwithopti3687"", ""title"": ""Procedures for dealing with optimism bias in transport planning""}, {""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/summary"", ""title"": ""Summary of responses to consultations on local authority major transport schemes""}, {""link"": ""http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/regional/ltp/major/transportanalysisguidancewebtag"", ""title"": ""Transport Analysis Guidance (WebTAG)""}]",2064
new,http://www.dft.gov.uk/publications/london-midland-ticket-office-opening-hours-decision,London Midland ticket office opening hours decision,The Transport Minister's decision on the application from London Midland to change the opening hours of 86 ticket offices.,"## Summary

The Transport Minister Norman Baker has given his decision on the application from London Midland to change the opening hours of 86 ticket offices.

[Details of the process for changing ticket office opening hours are also available on the DfT website](http://www.dft.gov.uk/publications/changes-to-railway-ticket-office-opening-hours/).

## Download documents

  * [Frequently asked questions (PDF, 35 KB)](http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/faqs.pdf)
  * [List of locations of 29 new London Midland ticket vending machines (PDF, 17 KB)](http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/new-office-locations.pdf)
  * [London Midland Ticket Office Minimum Opening Hours (PDF, 306 KB)](http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/lm-minimum-opening-hours.pdf)
  * [Summary of requests to change ticket office opening hours since May 2010 & their outcome (PDF, 19 KB)](http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/summary-requests-may2010.pdf)",guidance,expanding-and-improving-the-rail-network,,,department-for-transport,17-Sep-2012,2012-09-17,,,,199,"[{""link"": ""http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/faqs.pdf"", ""title"": ""Frequently asked questions (PDF \u2013 35 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/new-office-locations.pdf"", ""title"": ""List of locations of 29 new London Midland ticket vending machines (PDF \u2013 17 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/lm-minimum-opening-hours.pdf"", ""title"": ""London Midland Ticket Office Minimum Opening Hours (PDF \u2013 306 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/london-midland-opening-hours-decision/summary-requests-may2010.pdf"", ""title"": ""Summary of requests to change ticket office opening hours since May 2010 & their outcome (PDF \u2013 19 KB)""}]",1084
new,http://www.dft.gov.uk/publications/ltn-01-12,Shared Use,"This Local Transport Note provides advice on the planning, design and provision of shared use routes for pedestrians and cyclists.","## Summary

Shared use routes are designed to accommodate the movement of pedestrians and cyclists. Shared use schemes require careful consideration and this Local Transport Note provides advice on their planning, design and provision. It suggests a scheme development process to help in deciding if shared use is appropriate for any given situation and stresses the importance of high quality inclusive design that addresses the needs of all users. It places particular emphasis on involving users, residents, and other stakeholders in the design process.

## Download documents

  * [LTN 1/12 - Shared use routes for pedestrians and cyclists (PDF, 1500 KB)](http://assets.dft.gov.uk/publications/ltn-01-12/shared-use-routes-for-pedestrians-and-cyclists.pdf)
  * [LTN 1/12 - Shared use routes for pedestrians and cyclists (DOC, 1100 KB)](http://assets.dft.gov.uk/publications/ltn-01-12/shared-use-routes-for-pedestrians-and-cyclists.doc)

## Supporting documentation

  * [Shared use operation review (PDF, 1700 KB)](http://assets.dft.gov.uk/publications/ltn-01-12/atkins-shared-use-operational-review.pdf)",guidance,improving-local-transport,,local-transport-notes,department-for-transport,13-Sep-2012,2012-09-13,,,,200,"[{""link"": ""http://assets.dft.gov.uk/publications/ltn-01-12/shared-use-routes-for-pedestrians-and-cyclists.pdf"", ""title"": ""LTN 1/12 \u2013 Shared use routes for pedestrians and cyclists (PDF \u2013 1500 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/ltn-01-12/shared-use-routes-for-pedestrians-and-cyclists.doc"", ""title"": ""LTN 1/12 \u2013 Shared use routes for pedestrians and cyclists (DOC \u2013 1100 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/ltn-01-12/atkins-shared-use-operational-review.pdf"", ""title"": ""Shared use operation review (PDF \u2013 1700 KB)""}]",1107
