# Name,Description,Type,Status,Logo formatted name,Slug
Exchequer and Audit Department,The Exchequer and Audit Department was the predecessor of the National Audit Office,ministerial_department,Closed,Exchequer and Audit Department,exchequer-and-audit-department
Family Health Services Appeal Authority,The Family Health Services Appeal Authority hears appeals and applications resulting from decisions made by Primary Care Trust as part of the local management of such performers lists.,other,Closed,Family Health Services Appeal Authority,family-health-services-appeal-authority
Fire Authority for Northern Ireland,"Northern Ireland Fire & Rescue Service (NIFRS) is committed to 'Protecting Our Community'. We respond to fires, road traffic collisions and other specialist rescue incidents and provide community safety education and advice.",other,Closed,Fire Authority for Northern Ireland,fire-authority-for-northern-ireland
Firearms Consultative Committee,"This independent body was established under the Fireworks (Amendment) Act 1088 with a remit to keep under review the controls on firearms, to make recommendations to the Home Secretary as to how these may be improved, and to advise him on matters which he may refer to the Committee.",other,Closed,Firearms Consultative Committee,firearms-consultative-committee
Firebuy,Firebuy Limited was established in 2006 to deliver English Fire and Rescue Service (FRS) procurement at a national level.,other,Closed,Firebuy,firebuy
Fisheries Conservancy Board for Northern Ireland,The Fisheries Conservancy Board for Northern Ireland is a non-departmental public body established under the Fisheries Act and the fisheries (Amendment) (NI) Order.,other,Closed,Fisheries Conservancy Board for Northern Ireland,fisheries-conservancy-board-for-northern-ireland
Food from Britain,Food for Britain was the Defra sponsored Non-Departmental Public Body promoting UK food exports between 1983 and 2009.,other,Closed,Food from Britain,food-from-britain
Food Safety Promotion Board,"The Food Safety Promotion Board is principally charged with tasks involving food safety awareness - through public campaigns, conferences, training and advising professionals and the general public. ",advisory_ndpb,Closed,Food Safety Promotion Board,food-safety-promotion-board
Food Standards Agency Northern Ireland,The Food Standards Agency is responsible for food safety and food hygiene across the UK. We work with local authorities to enforce food safety regulations and have staff who work in UK meat plants to check that the requirements of the regulations are being met.,executive_agency,Closed,Food Standards Agency Northern Ireland,food-standards-agency-northern-ireland
Football Licensing Authority,FLA was responsible for ensuring safe conditions at football grounds in England and Wales. It became the Sports Ground Safety Authority in 2011.,other,Closed,Football Licensing Authority,football-licensing-authority
Foreign Office,Paper should be tagged under Foreign and Commonwealth Office,other,Closed,Foreign Office,foreign-office
Forensic Science Northern Ireland,Forensic Science Northern Ireland (FSNI) is an Agency within the Department of Justice working to provide effective impartial forensic science to support justice.,executive_agency,Closed,Forensic Science Northern Ireland,forensic-science-northern-ireland
Forensic Science Service,"The Forensic Science Service (FSS) was a government-owned company in the United Kingdom which provided forensic science services to the police forces and government agencies of England and Wales, as well as other countries.",other,Closed,Forensic Science Service,forensic-science-service
Gas and Electricity Consumer Council (Energywatch),Energywatch was responsible for protecting and promoting the interests of all gas and electricity consumers in Great Britain. Energywatch was created in November 2000 and desolved in 2008 when it became Consumer Focus.,other,Closed,Gas and Electricity Consumer Council (Energywatch),gas-and-electricity-consumer-council-energywatch
General Consumer Council for Northern Ireland,"The Consumer Council was set up by Government in 1985 and is funded by the Department of Enterprise, Trade and Investment (DETI).",other,Closed,General Consumer Council for Northern Ireland,general-consumer-council-for-northern-ireland
General Social Care Council,The General Social Care Council (GSCC) was a non-departmental public body of the Department of Health in the United Kingdom which was the regulator of social workers and social work students in England.,other,Closed,General Social Care Council,general-social-care-council
General Teaching Council for England,"The General Teaching Council for England was the professional body for teaching in England. It was abolished in 2012, with some of its responsibilities transferring to the Teaching Agency.",executive_agency,Closed,General Teaching Council for England,general-teaching-council-for-england
Gloucester Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Gloucester Education Action Zone,gloucester-education-action-zone
Government Car and Despatch Agency,The GCDA was reponsible for providing cars and drivers to ministers and senior civil servants and moving government mail between government buildings and locations. It became the Government Car Service in 2012 and operates from within the Department for Transport,executive_agency,Closed,Government Car and Despatch Agency,government-car-and-despatch-agency
Gowers Review of Intellectual Property,The Gowers Review of Intellectual Property was an independent review of UK intellectual property (IP) focusing on UK copyright law that was published in December 2006. ,other,Closed,Gowers Review of Intellectual Property,gowers-review-of-intellectual-property
Great Yarmouth Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Great Yarmouth Education Action Zone,great-yarmouth-education-action-zone
Greenwich Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Greenwich Education Action Zone,greenwich-education-action-zone
H.M. Court Service,"Her Majesty's Courts Service was an executive agency of the Ministry of Justice and was responsible for the administration of the civil, family and criminal courts in England and Wales. It was merged with the Tribunal Service in 2011 to form Her Majesty's Courts and Tribunal Service.",executive_agency,Closed,H.M. Court Service,hm-court-service
H.M. Customs and Excise,H.M. Customs and Excise is now a part of H.M. Revenue and Customs.,other,Closed,H.M. Customs and Excise,hm-customs-and-excise
H.M. Inspectorate of Court Administration,"HM Inspectorate of Court Administration (HMICA) has a duty, under the Courts Act 2003, to inspect the systems that support the Crown, county and magistrates' courts in England and Wales. ",other,Closed,H.M. Inspectorate of Court Administration,hm-inspectorate-of-court-administration
H.M. Inspectorate of Explosives for Northern Ireland,The Inspectorate is responsible for regulating premises or organisations in Northern Ireland which handle or sell explosive materials as defined under the Explosives Act 1875,other,Closed,H.M. Inspectorate of Explosives for Northern Ireland,hm-inspectorate-of-explosives-for-northern-ireland
Hackney Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Hackney Education Action Zone,hackney-education-action-zone
Hamilton Oxford Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Hamilton Oxford Education Action Zone,hamilton-oxford-education-action-zone
Hastings and St Leonards Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Hastings and St Leonards Education Action Zone,hastings-and-st-leonards-education-action-zone
Health and Safety Commission,HSC was created under the Health and Safety at Work Act 1974. It was merged with the Health and Safety Executive in 2008.,other,Closed,Health and Safety Commission,health-and-safety-commission
Health and Safety Executive for Northern Ireland,HSENI is the lead body responsible for the promotion and enforcement of health and safety at work standards in Northern Ireland.,other,Closed,Health and Safety Executive for Northern Ireland,health-and-safety-executive-for-northern-ireland
Health Protection Agency,"The Health Protection Agency's role was to provide an integrated approach to protecting UK public health through the provision of support and advice to the NHS, local authorities, emergency services, other Arms Length Bodies, the Department of Health and the others. The HPA became part of Public Health England in 2013. ",executive_agency,Closed,Health Protection Agency,health-protection-agency
Healthcare Commission,"The Commission for Healthcare Audit and Inspection, also known as the Healthcare Commission was created in 2004. It was responsible for assessing standards of care provided by the NHS. Its responsibilities were taken over by the Care Quality Commission in 2009.",other,Closed,Healthcare Commission,healthcare-commission
Hearing Aid Council,The Hearing Aid Council was a statutory regulator set up by the Hearing Aid Council Act (1968) to register dispensers and their employers working in the private hearing aid sector. The Health Professions Council took responsibilty for regulating the sector in 2010.,other,Closed,Hearing Aid Council,hearing-aid-council
Heart of Slough Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Heart of Slough Education Action Zone,heart-of-slough-education-action-zone
Hillsborough Independent Panel,The Hillsborough Independent Panel was established to oversee the disclosure of information relating to the Hillsborough disaster.,other,Closed,Hillsborough Independent Panel,hillsborough-independent-panel
Home-Grown Cereals Authority,The HGCA is the levy board for the cereals and oilseed supply chain. It is a part of the Agriculture and Horticulture Development Board,other,Closed,Home-Grown Cereals Authority,home-grown-cereals-authority
Horticultural Development Council,The HDC was responsible for near-market research and development in the horticultural sector. It became a part of the Agricultural and Horticultural Development Board in 2008.,other,Closed,Horticultural Development Council,horticultural-development-council
Housing Corporation,The Housing Corporation was the non-departmental public body that funded new affordable housing and regulated housing associations in England. It was abolished in 2008 with its responsibilities being split between the Homes and Communities Agency and the Tenant Services Authority.,executive_agency,Closed,Housing Corporation,housing-corporation
Hybu Cig Cymru - Meat Promotion Wales,"Hybu Cig Cymru - Meat Promotion Wales (HCC) is the organisation responsible for the development, promotion and marketing of Welsh red meat.",other,Closed,Hybu Cig Cymru - Meat Promotion Wales,hybu-cig-cymru-meat-promotion-wales
ICL Inquiry,"ICL Inquiry looked into the circumstances leading up to the incident on 11 May 2004 at the premises occupied by the ICL group of companies, Grovepark Mills, Maryhill, Glasgow",other,Closed,ICL Inquiry,icl-inquiry
Identity and Passport Service,Now Her Majesty's Passport Office,other,Closed,Identity and Passport Service,identity-and-passport-service
Independent Monitoring Commission,"The IMC was created by the British and Irish governments to fulfil three responsibilities; to monitor and report on the continuing activities of paramilitary groups; to monitor and report at six-monthly intervals on the security normalisation measures taken by the British Government in Northern Ireland and, to consider and report on claims from any party in the Northern Ireland Assembly that a Minister or another party was not committed to democratic means or was not following the correct standards of behaviour. The Commission ceased operations in 2011.",other,Closed,Independent Monitoring Commission,independent-monitoring-commission
Independent Parliamentary Standards Authority,"IPSA was created in 2009 to monitor MP's expenses, pay and pensions.",other,Closed,Independent Parliamentary Standards Authority,independent-parliamentary-standards-authority
Independent Review of Police Officer and Staff Remuneration and Conditions,"The review was set up by the Home Secretary to ensure that the current police pay and conditions and the structures around them are the best they could be given the challenges facing the police service, which will see forces being required to achieve more with less, while also being fair to officers and staff.",other,Closed,Independent Review of Police Officer and Staff Remuneration and Conditions,independent-review-of-police-officer-and-staff-remuneration-and-conditions
Independent Review of the Commercialisation and Sexualisation of Childhood,"Independent Review of the Commercialisation and Sexualisation of Childhood was comissioned to assess how children in this country are being pressured to grow up too quickly, and to make recommendations on how to address public concern.",other,Closed,Independent Review of the Commercialisation and Sexualisation of Childhood,independent-review-of-the-commercialisation-and-sexualisation-of-childhood
Independent Review of the Office the Children's Commissioner,"Independent Review of the Office the Children's Commissioner explored the Commissioner's powers, remit and functions and the relationship with other Government funded organisations carrying out related functions, and value for money. ",other,Closed,Independent Review of the Office the Children's Commissioner,independent-review-of-the-office-the-childrens-commissioner
Independent Review of the UK Postal Services Sector,The review was established to help sustain the universal postal service.,other,Closed,Independent Review of the UK Postal Services Sector,independent-review-of-the-uk-postal-services-sector
Independent Safeguarding Authority,The Authority is now a part of the Disclosure and Barring Service.,other,Closed,Independent Safeguarding Authority,independent-safeguarding-authority
Independent Sickness Absence Review,Independent Sickness Absence Review aimed  to minimise the loss of work resulting from ill health and to find ways of reducing the burdens and costs. ,other,Closed,Independent Sickness Absence Review,independent-sickness-absence-review
Infrastructure Planning Commission,The Infrastructure Planning Commission was a non-departmental public body responsible for the examining and in certain circumstances the decision making body for proposed nationally significant infrastructure projects. The Commission was abolished in 2012 with responsibility being passed to the Planning Inspectorate.,other,Closed,Infrastructure Planning Commission,infrastructure-planning-commission
Inquiry into the Circumstances of the Death of Bernard (Sonny) Lodge at Manchester Prison on 28 August 1998,Inquiry into the care of Mr Bernard Lodge by the Prison Service in the period leading to his death.,other,Closed,Inquiry into the Circumstances of the Death of Bernard (Sonny) Lodge at Manchester Prison on 28 August 1998,inquiry-into-the-circumstances-of-the-death-of-bernard-sonny-lodge-at-manchester-prison-on-28-august-1998
Investors in People UK,Investors in People UK specialises in transforming business performance through people.,other,Closed,Investors in People UK,investors-in-people-uk
Jobcentre Plus,Jobcentre Plus was an executive agency of the Department for Work and Pensions from 2002 until 2011.,executive_agency,Closed,Jobcentre Plus,jobcentre-plus
Judiciary of England and Wales,The Judiciary is the system of courts and judges which interpret and apply the law in England and Wales. The head of the Judiciary is the Lord Chief Justice.,other,Closed,Judiciary of England and Wales,judiciary-of-england-and-wales
Kent and Somerset Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Kent and Somerset Education Action Zone,kent-and-somerset-education-action-zone
Kerr / Haslam Inquiry,"Kerr/Haslam Inquiry report published in July 2005 tell in detail how, over a period of more than two decades, according to many female patients, two male psychiatrists working from the same hospital were able to sexually abuse them.",other,Closed,Kerr/Haslam Inquiry,kerr-haslam-inquiry
Labour Relations Agency,"Labour Relations Agency provides an impartial and confidential employment relations service to those engaged in industry, commerce and the public services. ",executive_agency,Closed,Labour Relations Agency,labour-relations-agency
Laidlaw Inquiry,The Laidlaw Inquiry was established to investigate issues surrounding the franchising process for ICWC,other,Closed,LAIDLAW INQUIRY,laidlaw-inquiry
Land Registers of Northern Ireland,Land Registers of Northern Ireland is a part of the Land and Property Services Agency. It aims to support the conveyancing and property market in Northern Ireland.,executive_agency,Closed,Land Registers of Northern Ireland,land-registers-of-northern-ireland
Law Officers' Departments,"The Law Officers' Departments consist of the Attorney General's Office, Crown Prosecution Service, HM Crown Prosecution Service Inspectorate, Revenue and Customs Prosecution Office, Serious Fraud Office and the Treasury Solicitor.",ministerial_department,Closed,Law Officers' Departments,law-officers-departments
Learning and Skills Council,The LSC was responsible for planning and funding further education (post-16 education and training other than higher education) in England.  It was abolished in 2010 and replaced by the Skills Funding Agency and the Young People's Learning Agency.,executive_agency,Closed,Learning and Skills Council,learning-and-skills-council
Legal Aid Board,The Legal Aid Board was responsible for the administration of Legal Aid. It was replaced in 2000 by the Legal Services Commisison,other,Closed,Legal Aid Board,legal-aid-board
Legal Services Commission,The Legal Services Commission was responsible for the administration of Legal Aid in England and Wales. It was replaced by the Legal Aid Agency in 2013.,executive_agency,Closed,Legal Services Commission,legal-services-commission
Leigh Park Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Leigh Park Education Action Zone,leigh-park-education-action-zone
Leitch Review of Skills,"Lord Leitch was commissioned in 2004 o examine the UK's optimal skills mix in order to maximise economic growth, productivity and social justice. In addition, the Review was asked by the Chancellor in Budget 2006 to consider how best to integrate employment and skills services.",other,Closed,Leitch Review of Skills,leitch-review-of-skills
Leveson Inquiry,"The Leveson Inquiry explores the culture, practices and ethics of the press.",other,Closed,Leveson Inquiry,leveson-inquiry
Life Sentence Review Commissioners,The Commissioners review cases of prisoners who have been given life sentences in Northern Ireland and determine whether they can be released once the minimum tariff has been served. The Life Sentence Review Commissioners have been replaced by the Parole Commissioners.,other,Closed,Life Sentence Review Commissioners,life-sentence-review-commissioners
Livestock and Meat Commission for Northern Ireland,"The Livestock and Meat Commission for Northern Ireland (LMC) is an Executive Non-Departmental Public Body, which was established by Statute (The Livestock Marketing Commission Act [Northern Ireland] 1967) to assist the development of the livestock and livestock products industries.",other,Closed,Livestock and Meat Commission for Northern Ireland,livestock-and-meat-commission-for-northern-ireland
Local Better Regulation Office,"LBRO focused on the interaction between business and regulators, ensuring that it delivered prosperity and protection for all. One aim was to change the nature of regulation, enabling regulators to apply their professional judgment in the most effective and efficient way. LBRO was dissolved in 2012 with responsibilities passing to the Department for Business, Innovation and Skills and Welsh Ministers.",other,Closed,Local Better Regulation Office,local-better-regulation-office
Lord Chancellor's Department,The Department was responsible for the judicial system in England and Wales. It was merged with the then Department for Constitutional Affairs (now Ministry of Justice) in 2003.,ministerial_department,Closed,Lord Chancellor's Department,lord-chancellors-department
Lyons Inquiry into Local Government,"Lyons Inquiry into Local Government explored the future role, function and funding of local government - Place-shaping: a shared ambition for the future of local government.",other,Closed,Lyons Inquiry into Local Government,lyons-inquiry-into-local-government
Marine and Fisheries Agency,"The Agency was responsible for enforcing sea fisheries legislation, the licensing of British fishing vessels and management of fisheries quotas. It was merged into the Marine Management Organisation in 2010.",executive_agency,Closed,Marine and Fisheries Agency,marine-and-fisheries-agency
Marine Fisheries Agency,"The Agency was responsible for enforcing sea fisheries legislation, the licensing of British fishing vessels and management of fisheries quotas. It was merged into the Marine Management Organisation in 2010.",executive_agency,Closed,Marine Fisheries Agency,marine-fisheries-agency
Meat and Livestock Commission,The Commission was the levy board for meat producers. It is now a part of the Agriculture and Horticulture Development Board.,other,Closed,Meat and Livestock Commission,meat-and-livestock-commission
Meat Hygiene Service,The Meat Hygiene Service was set up in 1995 and was responsible for the enforcement of meat hygiene legislation. The Service merged with the Food Standards Agency in 2010.,executive_agency,Closed,Meat Hygiene Service,meat-hygiene-service
Medical Supplies Agency,"The MSA is a unit of the Defence Logistics Organisation responsible for the provision of medical, dental and veterinary supplies to the Armed Forces.",executive_agency,Closed,Medical Supplies Agency,medical-supplies-agency
Mental Health Act Commission,The Mental Health Act Commission was an NHS special health authority that provided a safeguard for people detained in hospital under the powers of the Mental Health Act 1983 in England and Wales,other,Closed,Mental Health Act Commission,mental-health-act-commission
Mid Staffordshire NHS Foundation Trust Inquiry,The report into care and standards within Mid Staffordshire NHS Foundation Trust was was published in 2010.,other,Closed,Mid Staffordshire NHS Foundation Trust Inquiry,mid-staffordshire-nhs-foundation-trust-inquiry
Mid Staffordshire NHS Foundation Trust Public Inquiry,"Mid Staffordshire NHS Foundation Trust Inquiry, governed by the Inquiries Act 2005, examined the commissioning, supervisory and regulatory organisations in relation to their monitoring role at Mid Staffordshire NHS Foundation Trust between January 2005 and March 2009.",other,Closed,Mid Staffordshire NHS Foundation Trust Public Inquiry,mid-staffordshire-nhs-foundation-trust-public-inquiry
Milk Development Council,"The MDC was the levy board for milk production in Great Britain. The income generated by the levy was used to improve competitiveness and profitability of the British dairy industry. It was replaced by a new levy board, DairyCo in 2008 which is a subsiduary company of the Agriculture and Horticulture Development Board.",other,Closed,Milk Development Council,milk-development-council
Millennium Commission,The Millennium Commission was set up with funding raised through the UK National Lottery to celebrate the turn of the Millennium and aid communities at the end of the 2nd millennium and the start of the 3rd millennium. ,other,Closed,Millennium Commission,millennium-commission
Ministry of Defence Police and Guarding Agency,The Agency was responsible for ensuring security of MOD property. The Agency was dispanded in 2013.,executive_agency,Closed,Ministry of Defence Police and Guarding Agency,ministry-of-defence-police-and-guarding-agency
Monopolies and Mergers Commission,The MMC was replaced by the Competition Commission in 1999.,other,Closed,Monopolies and Mergers Commission,monopolies-and-mergers-commission
Mull of Kintyre Review,An independent review examining all available evidence relating to the findings of the Board of Inquiry into the fatal accident at the Mull of Kintyre on 2 June 1994.,other,Closed,Mull of Kintyre Review,mull-of-kintyre-review
Munro Review of Child Protection,"Munro Review sets out proposals for reform which are intended to create the conditions that enable professionals to make the best judgments about the help to give children, young people and families.",other,Closed,Munro Review of Child Protection,munro-review-of-child-protection
"Museums, Libraries and Archives Council","The Museums, Libraries and Archives Council (MLA) was a non-departmental public body and registered charity in England with a remit to promote improvement and innovation in the area of museums, libraries and archives. ",other,Closed,"Museums, Libraries and Archives Council",museums-libraries-and-archives-council
National Biological Standards Board,"The Board was responsible for safeguarding and advancing public health by assuring the quality and safety of biologicals, through its management of the National Institute for Biological Standards and Control (NIBSC). In July 2008 the Health and Social Care Act abolished the NBSB and transferred its functions to the Health Protection Agency (HPA).",executive_agency,Closed,National Biological Standards Board,national-biological-standards-board
National Blood Authority,The Authority was responsible for organising the donation of blood and preparing it for use by health services. The Authority was abolished in 2005 with responsibilities passing to the NHS Blood and Transplant Service.,other,Closed,National Blood Authority,national-blood-authority
National Care Standards Commission,The Healthcare Commission was a non-departmental public body sponsored by the Department of Health of the United Kingdom to promote and drive improvement in the quality of health care and public health in England and Wales. ,other,Closed,National Care Standards Commission,national-care-standards-commission
National College for Leadership of Schools and Children's Services,"National College for Leadership of Schools and Children's Services is an executive agency of the United Kingdom's Department for Education which offers headteachers, school leaders and senior children's services leaders opportunities for professional leadership development.",executive_agency,Closed,National College for Leadership of Schools and Children's Services,national-college-for-leadership-of-schools-and-childrens-services
National College for School Leadership,"The National College for School Leadership is an executive agency of the United Kingdom's Department for Education which offers headteachers, school leaders and senior children's services leaders opportunities for professional leadership development.",executive_agency,Closed,National College for School Leadership,national-college-for-school-leadership
National Crime Squad,The National Crime Squad (NCS) was a British police organisation which dealt mainly with organised and major crimes.,other,Closed,National Crime Squad,national-crime-squad
National Criminal Intelligence Service,The function of NCIS was to gather and analyse intelligence data in order to provide insight and intelligence to national police forces. Its role was subsequently taken over by the Serious Organised Crime Agency.,executive_agency,Closed,National Criminal Intelligence Service,national-criminal-intelligence-service
"National Endowment for Science, Technology and the Arts","Nesta (formerly NESTA, National Endowment for Science, Technology and the Arts) is an independent charity that works to increase the innovation capacity of the UK.",other,Closed,"National Endowment for Science, Technology and the Arts",national-endowment-for-science-technology-and-the-arts
National Museums and Galleries of Northern Ireland,"The Ulster Museum, located in the Botanic Gardens in Belfast, is a public display space, featuring material from the collections of fine art and applied art, archaeology, ethnography, treasures from the Spanish Armada, local history, numismatics, industrial archaeology, botany, zoology and geology.",other,Closed,National Museums and Galleries of Northern Ireland,national-museums-and-galleries-of-northern-ireland
National Patient Safety Agency,The NHS Patient Safety Agency was responsible for identifying and reducing risks to patients receiving NHS care and lead on national initiatives to improve patient safety.  In June 2012 the Agency became part of the NHS Commissioning Board Special Health Authority.,executive_agency,Closed,National Patient Safety Agency,national-patient-safety-agency
National Policing Improvement Agency,"The National Policing Improvement Agency was a non-departmental public body established to support police by providing expertise in such areas as information technology, information sharing, and recruitment.",executive_agency,Closed,National Policing Improvement Agency,national-policing-improvement-agency
National Probation Service,"The National Probation Service for England and Wales is a statutory Criminal Justice Service, mainly responsible for the supervision of offenders in the community and the provision of reports to the criminal courts to assist them in their sentencing duties.",other,Closed,National Probation Service,national-probation-service
National Radiological Protection Board,The National Radiological Protection Board (NRPB) was a public authority in the UK created by the Radiological Protection Act 1970. Its statutory functions were to conduct research on radiological protection and provide advice and information on the subject to Government Departments and others.,other,Closed,National Radiological Protection Board,national-radiological-protection-board
National School of Government,"National School of Government (previously known as the Civil Service College and the Centre for Management and Policy Studies, or CMPS) was the part of the Cabinet Office that ran training, organisational development and consultancy courses for UK civil servants and private individual learners.",other,Closed,National School of Government,national-school-of-government
National Treatment Agency for Substance Misuse,"The National Treatment Agency for Substance Misuse (NTA) was established in 2001 to improve the availability, capacity and effectiveness of drug treatment.",executive_agency,Closed,National Treatment Agency for Substance Misuse,national-treatment-agency-for-substance-misuse
National Weights and Measures Laboratory,Now the National Measurement Office.,other,Closed,National Weights and Measures Laboratory,national-weights-and-measures-laboratory
New Opportunities Fund,"The New Opportunities Fund was established in 1998 to distribute funds from the National Lottery to health, education and environmental projects. It was merged into the Big Lotter Fund in 2004 and was formally dissolved in 2006. ",other,Closed,New Opportunities Fund,new-opportunities-fund
NHS Appointments Commission,"Originally established in 2001, it was renamed the Appointments Commission and was abolished in 2012.",other,Closed,NHS Appointments Commission,nhs-appointments-commission
NHS Commissioning Board (Special Health Authority),The NHS Commissioning Board (Special Health Authority) was an interim body set up to undertake all the necessary preparatory work for the successful establishment of the NHS Commissioning Board and the new commissioning architecture. The Board eventually became NHS England. ,other,Closed,NHS Commissioning Board (Special Health Authority),nhs-commissioning-board-special-health-authority
NHS Direct National Health Service Trust,The NHS Direct National Health Service Trust provides clinical care and services across a range of channels using its virtual national network of call centres and home workers.,other,Closed,NHS Direct National Health Service Trust,nhs-direct-national-health-service-trust
NHS Estates,NHS Estates was responsible for strategy and policy related to the healthcare built environment including non-clinical support services. It was abolished in September 2005.,other,Closed,NHS Estates,nhs-estates
NHS Information Centre,"The NHS Information Centre was responsible for collating, analysing and disseminating health and social care data to assist those providing care, regulating healthcare and policy makers. It was superseded by the Health and Social Care Information Centre in April 2013. ",other,Closed,NHS Information Centre,nhs-information-centre
NHS Institute for Innovation and Improvement,"The NHS Institute was established in July 2005 to support the transformation of the NHS, through innovation, improvement and the adoption of best practice. It was replaced by NHS Improving Quality in April 2013.",other,Closed,NHS Institute for Innovation and Improvement,nhs-institute-for-innovation-and-improvement
NHS Logistics Authority,NHS Supply Chain is a joint venture between the Supply Chain Management Division of the NHS Business Services Authority and DHL to provide a dedicated supply chain to the National Health Service (NHS) in England.,other,Closed,NHS Logistics Authority,nhs-logistics-authority
NHS Pensions Agency,The NHS Pension Scheme is a large pension scheme for people who work for the English NHS and NHS Wales.,executive_agency,Closed,NHS Pensions Agency,nhs-pensions-agency
NHS Professionals,NHS Professionals is an organisation in the United Kingdom that supplies heathcare workers to the National Health Service (NHS).,other,Closed,NHS Professionals,nhs-professionals
NHS Purchasing and Supply Agency,The NHS Purchasing and Supply Agency was an executive agency of the Department of Health (DH) in the United Kingdom.,executive_agency,Closed,NHS Purchasing and Supply Agency,nhs-purchasing-and-supply-agency
Nimrod Review,The Review was set up to investigate the circumstances surrounding the loss of a Nimrod aircraft in Afghanistan in 2006.,other,Closed,Nimrod Review,nimrod-review
North East Derbyshire Coalfields Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,North East Derbyshire Coalfields Education Action Zone,north-east-derbyshire-coalfields-education-action-zone
North East Education and Library Board,"North East Education and Library Board will aim to help everyone realise their potential and contribute to a caring, inclusive and progressive society.",other,Closed,North East Education and Library Board,north-east-education-and-library-board
North Gillingham Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,North Gillingham Education Action Zone,north-gillingham-education-action-zone
North Islington Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,North Islington Education Action Zone,north-islington-education-action-zone
North Stockton Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,North Stockton Education Action Zone,north-stockton-education-action-zone
North West Development Agency,The Northwest Regional Development Agency (NWDA) was the regional development agency for the North West England region and was a non-departmental public body.[1] It was abolished on 31 March 2012.,executive_agency,Closed,North West Development Agency,north-west-development-agency
North West Shropshire Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,North West Shropshire Education Action Zone,north-west-shropshire-education-action-zone
Northern Health and Social Services Board,"Northern Health and Social Services Board's role is that of a commissioner which means it is required to assess the health and social care needs of local people and plan, secure and pay for services to meet these needs. ",other,Closed,Northern Health and Social Services Board,northern-health-and-social-services-board
Northern Ireland Audit Office,The Northern Ireland Audit Office supports the C&AG in authorising the issue of money from central government funds to Northern Ireland Departments and conducting financial and value for money audit of central government bodies in Northern Ireland.,other,Closed,Northern Ireland Audit Office,northern-ireland-audit-office
Northern Ireland Authority for Energy Regulation,"Northern Ireland Authority for Energy Regulation responsible for regulating the electricity, gas, water and sewerage industries in Northern Ireland, promoting the short- and long-term interests of consumers.  ",other,Closed,Northern Ireland Authority for Energy Regulation,northern-ireland-authority-for-energy-regulation
Northern Ireland Child Support Agency,"The Northern Ireland Child Support Agency (CSA) was the government body responsible for the calculation, enforcement and collection of Child Maintenance in Northern Ireland.",executive_agency,Closed,Northern Ireland Child Support Agency,northern-ireland-child-support-agency
Northern Ireland Commissioner for Children and Young People,Northern Ireland's Children's Commissioner role is to promote and safeguard the rights of children and their best interests.,other,Closed,Northern Ireland Commissioner for Children and Young People,northern-ireland-commissioner-for-children-and-young-people
