old_url,organisation,title,policy_1,policy_2,policy_3,policy_4,publication_type,body,price,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title
http://www.communities.gov.uk/publications/housing/homelessnessinformationsheethosp,department-for-communities-and-local-government,Homelessness and health information sheet: hospital discharge (HIS number 4),providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"Homeless people may often leave health problems untreated until they reach crisis point and then need to rely on treatment at Accident and Emergency (A&E) or will present at other primary health services with multiple and entrenched problems. This combines to make health problems more expensive to treat, hospital and A&E waiting lists longer and can lead to people being less able to support themselves and their families in their accommodation.

This information sheet provides information on how local authorities and health services can work together to provide accessible and appropriate services for homeless people.",Free,18 January 2006,18-Jan-2006,Reports and summaries,,http://www.communities.gov.uk/publications/housing/homelessnessinformationsheethosp?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/137857.pdf,Homelessness and Health Information Sheet: Number 4 - Hospital Discharge,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnesshealth,department-for-communities-and-local-government,Homelessness and health information sheet: personal medical services (HIS number 1),providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"Homeless people can face great inequalities in accessing health services, yet their health can often suffer from being homeless or living in poor quality temporary accommodation.

This information sheet looks at Personal Medical Services schemes (PMS), which offer opportunities to provide services to groups experiencing difficulty accessing General Medical Services. It presents a number of case studies of successful PMS projects around the country.",Free,28 November 2002,28-Nov-2002,Reports and summaries,,http://www.communities.gov.uk/documents/housing/pdf/137866.pdf,Homelessness and Health Information Sheet: Number 1 - Personal Medical Services,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnesspreventionguide,department-for-communities-and-local-government,Homelessness prevention and meeting housing need for (ex)offenders: A guide to practice,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This guide aims to assist those who work with (ex)offenders to help prevent them from becoming homeless and to meet their housing needs. It focuses on three main areas:

  * partnership working to increase capacity in housing provision,
  * multi-agency approaches to assessment and planning,
  * and the provision of on-going support.

It draws on existing initiatives to provide examples of practice.

The findings and recommendations in this report are those of the consultant authors and do not necessarily represent the views or proposed policies of the Department for Communities and Local Government.",Free,2 November 2009,02-Nov-2009,"Reports and summaries, Good practice and guidance",9781409814948,http://www.communities.gov.uk/documents/housing/pdf/1357348.pdf,Homelessness prevention and meeting housing need for (ex)offenders: A guide to practice,http://www.communities.gov.uk/documents/housing/doc/1357369.doc,Homelessness prevention and meeting housing need for (ex)offenders: A guide to practice,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/hospitaladmission,department-for-communities-and-local-government,Hospital admission and discharge: people who are homeless or living in temporary or insecure accommodation,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This publication relates to guidance to support hospitals, Primary Care Trusts (PCTs), local authorities and the voluntary sector, working in partnership, to develop an effective admission and discharge protocol for people who are not living in settled accommodation. The over arching aim of the protocol will be to ensure that no one is discharged to the streets or inappropriate accommodation.",Free,8 December 2006,08-Dec-2006,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/154289.pdf,Hospital Admission and Discharge: People who are homeless or living in temporary or insecure accommodation,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/deliveringhousingadaptations2,department-for-communities-and-local-government,Housing disrepair legal obligations: good practice guidance,improving-the-rented-housing-sector,,,,guidance,"The purpose of this guidance is to advise on good practice in relation to the management and delivery of housing repairs while emphasising the legal obligations and suggesting appropriate responses where there are threats of litigation.

A high quality repairs service is a key element in the provision of good quality rented housing. Also it is an essential element in achieving high levels of tenant satisfaction, improving the landlord and tenant relationship and protecting health and safety.

A number of local authorities and other landlords have an excellent record in the provision of housing repairs service, but there is scope for improvements, in some cases significant, by many others.",£10.00 (free to download below),8 January 2002,08-Jan-2002,Good practice and guidance,185112523X,http://www.communities.gov.uk/documents/housing/pdf/142949.pdf,Housing Disrepair Legal Obligations: Good Practice Guidance,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/housinghealth,department-for-communities-and-local-government,Housing Health and Safety Rating System - guidance for landlords and property related professionals,improving-the-rented-housing-sector,,,,guidance,"The Housing Health and Safety Rating System (HHSRS) is a new risk assessment tool used to assess potential risks to the health and safety of occupants in residential properties in England and Wales. The legislation came into effect in England on 6 April 2006 and slightly later in 2006 in Wales.

This assessment method focuses on the hazards that are present in housing. Tackling these hazards will make housing healthier and safer to live in.

This guidance is aimed at non-specialists, in particular private landlords, to help them understand the requirements under the Housing Act 2004 in relation to the HHSRS and help them identify the type of work that is needed on their properties to conform with the HHSRS.",£12.00 (free to download below),26 May 2006,26-May-2006,Good practice and guidance,978 185 112 8563,http://www.communities.gov.uk/publications/housing/housinghealth?view=Order+form&supplierId=1403826,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/150940.pdf,Housing Health and Safety Rating System - Guidance for Landlords and Property Related Professional,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/housinghealth2,department-for-communities-and-local-government,Housing Health and Safety Rating System: enforcement guidance: Housing Act 2004 Part 1: Housing Conditions,improving-the-rented-housing-sector,,,,guidance,The Housing Health and Safety Rating System enforcement guidance is given to local housing authorities to provide guidance on the exercise of their duties and powers under Part 1 of the Housing Act 2004.,£15.00 (free to download below),23 August 2006,23-Aug-2006,"Good practice and guidance, Legislation and policy",9781851128471 (ISBN-13) ; 1851128476 (ISBN-10),http://www.communities.gov.uk/publications/housing/housinghealth2?view=Order+form&supplierId=1403826,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/safetyratingsystem.pdf,Housing Health and Safety Rating System: Enforcement Guidance: Housing Act 2004 Part 1: Housing Conditions,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/hramanual0607,department-for-communities-and-local-government,Housing Revenue Account Manual - 2006-2007 Edition,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,guidance,"This manual describes the statutory rules governing both the keeping of the Housing Revenue Account (HRA) and the payment of subsidy to support it. It applies to English housing authorities. It also briefl y describes the policy behind these rules and explains their practical application. Finally, it places the HRA and HRA subsidy arrangements in the wider context of public expenditure and the local government capital finance system.

**Arrangement of the manual**

The manual is arranged in three parts:

(i) Part I: Introduction - covering the recent history and development of housing finance, and the local government capital finance system;

(ii) Part II: The Housing Revenue Account - covering accounting and budgeting procedures generally (for both the HRA and the Housing Repairs Account) and each HRA debit and credit Item in more detail;

(iii) Part III: HRA Subsidy - covering the general principles, the overall formula and each separate component within this, and claims procedures; worked examples are provided.

Information on extant directions and determinations for years from 1996-1997 onwards, and on contact points, together with a glossary of terms are included in the Appendices. There is also a comprehensive index.",Free,30 July 2007,30-Jul-2007,"Manuals leaflets and booklets, Good practice and guidance",,http://www.communities.gov.uk/documents/housing/pdf/hramanual0607.pdf,Housing Revenue Account Manual - 2006–2007 Edition,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/housingallocationhomelessness,department-for-communities-and-local-government,"Housing allocation, homelessness and stock transfer: a guide to key issues",providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"An ODPM commissioned study into the current operation of housing allocations policy by local authorities. The report also covers lettings to existing tenants and related aspects of homelessness administration.

_Note on quality: the files attached to this page were converted from a legacy website by automatic process, and may contain minor formatting errors. The text of the document is complete and as originally published._",Free,1 January 2004,01-Jan-2004,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/138487.pdf,"Housing allocation, homelessness and stock transfer: A guide to key issues",http://www.communities.gov.uk/documents/housing/rtf/156843.rtf,"Housing allocation, homelessness and stock transfer: A guide to key issues",,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/goodpracticeguide,department-for-communities-and-local-government,Joint working between Housing and Children’s Services: preventing homelessness and tackling its effects on children and young people,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"The purpose of this guide is to help the managers of Children's Services and Housing Authorities in both single tier and two tier authorities to plan and deliver changes for children, young people and families. It is aimed at senior managers in housing and children's services.",Free,12 May 2008,12-May-2008,Good practice and guidance,9781409800163,http://www.communities.gov.uk/documents/housing/pdf/jointworkinghomelessness,"Joint working between Housing and Children's Services: Preventing homelessness and tackling its effects on children
and young people",http://www.communities.gov.uk/documents/housing/doc/jointworkinghomelessness,Joint working between Housing and Children's Services: Preventing homelessness and tackling its effects on children and young people,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/lendernotificationrepossession,department-for-communities-and-local-government,Lender notification of repossession proceedings to local authorities: non-statutory guidance for local housing authorities,helping-people-to-buy-a-home,,,,guidance,"This guidance is to inform local authorities of the implications of amendments to Civil Procedure Rules Part 55, which will require mortgage lenders to notify local authorities that possession proceedings relating to a mortgaged residential property in their area have commenced and thus to encourage local authorities to use this information in the context of their homelessness prevention functions to assist households at risk of repossession.",Free,29 September 2009,29-Sep-2009,Good practice and guidance,9781409819158,http://www.communities.gov.uk/documents/housing/pdf/1346182.pdf,Lender notification of repossession proceedings to local authorities: Non-statutory guidance for local housing authorities,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/lettingyourhome,department-for-communities-and-local-government,Letting your home,improving-the-rented-housing-sector,,,,guidance,"When you let your property to a tenant, the tenancy is usually an assured shorthold tenancy (unless you agree otherwise in writing or it is outside the assured tenancy legislation). This means that:

  * you have a guaranteed right to get your home back after six months - if you need to
  * you can charge a market rent
  * you can get your home back if your tenant owes you at least two months' or eight weeks' rent
  * tenants causing a nuisance to local people can be evicted.

The downloadable leaflet (below) gives more detail.",Free,31 March 2007,31-Mar-2007,Manuals leaflets and booklets,,http://www.communities.gov.uk/documents/housing/doc/324579.doc,Letting Your Home,http://www.communities.gov.uk/documents/housing/pdf/324582.pdf,Letting Your Home,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/lettingrooms,department-for-communities-and-local-government,Letting rooms in your home: a guide for resident landlords,improving-the-rented-housing-sector,,,,guidance,"You should read this booklet if you are letting (or thinking of letting) part of your only or main home. In law, a resident landlord letting is one where the landlord and the person he or she lets to live in the same building. This includes conversions where they live in different parts of the same property (however long ago it was converted).

However, if

  * the property is split into purpose built flats, with landlord and occupier in different flats, or
  * you do not live in the same property as the person you let to,

you should instead read the booklet _Assured and Assured Shorthold tenancies - a guide for landlords_ if the letting began on or after 15 January 1989; or _Regulated Tenancies_ if it began before this date.",Free,21 April 2009,21-Apr-2009,"Manuals leaflets and booklets, Good practice and guidance",9781409810520,http://www.communities.gov.uk/documents/housing/pdf/151564.pdf,Letting rooms in your home: A guide for resident landlords,http://www.communities.gov.uk/documents/housing/doc/1206200.doc,Letting Rooms in Your Home - a guide for resident landlords,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/licensinghouses,department-for-communities-and-local-government,Licensing of houses in multiple occupation in England: a guide for landlords and managers,improving-the-rented-housing-sector,,,,guidance,"This publication is aimed at landlords and managers who manage a House in Multiple Occupation (HMO), or if you are not sure whether you manage a House in Multiple Occupation. The booklet explains more about HMOS, which HMO's are required to be licensed and what other if any responsibilities there are in relation to the management of HMOs.

A guide for tenants is also available via the link on the right.",Free,10 April 2007,10-Apr-2007,"Manuals leaflets and booklets, Good practice and guidance",,http://www.communities.gov.uk/documents/housing/pdf/322460.pdf,Licensing of Houses in Multiple Occupation in England: A guide for landlords and managers,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/licensinghousestenants,department-for-communities-and-local-government,Licensing of houses in multiple occupation in England: a guide for tenants,improving-the-rented-housing-sector,,,,guidance,"This publication is aimed at tenants who live in a House in Multiple Occupation (HMO), or if you are not sure whether you live in a House in Multiple Occupation. The booklet explains more about HMOS, which HMO's are required to be licensed and what other if any responsibilities there are in relation to the management of HMOs.

A guide for landlords and managers is also available via the link on the right.",Free,10 April 2007,10-Apr-2007,"Manuals leaflets and booklets, Good practice and guidance",,http://www.communities.gov.uk/publications/housing/licensinghousestenants?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/322463.pdf,Licensing of Houses in Multiple Occupation in England: A guide for tenants,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/tmostatutoryguidance,department-for-communities-and-local-government,"Local choice, local control: statutory guidance on tenant management for local
authorities and local authority tenants",improving-the-rented-housing-sector,,,,guidance,"This guidance is given under the Housing (Right to Manage) Regulations 2008, which provides that all those who are exercising  functions under the Legislation are required to take into account this guidance. It also sets out guidelines for the assessment of competence of a Tenant Management Organisation (TMO).",Free,1 October 2008,01-Oct-2008,"Good practice and guidance, Legislation and policy",9781409805465,http://www.communities.gov.uk/publications/housing/tmostatutoryguidance?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/localchoicelocalcontrol.pdf,"Local choice, local control: Statutory guidance on tenant management for local
authorities and local authority tenants",http://www.communities.gov.uk/documents/housing/doc/localchoiceandcontrol.doc,"Local choice, local control - Statutory guidance on tenant management for local  authorities and local authority tenants",,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/makingadifference,department-for-communities-and-local-government,Making a difference: supported lodgings as a housing option for young people,improving-the-rented-housing-sector,,,,guidance,"Local authorities and their partners are making considerable inroads into the task of meeting the Government's target of eliminating the use of bed and breakfast accommodation for 16 and 17 year olds, except in an emergency and then for no more than six weeks. By 30 June 2008 the number staying in bed and breakfast had fallen from approximately 1,000 in September 2006 to 420, 160 of whom had been placed for more than six weeks. Supported lodgings services have played an important role in this in some areas, and Communities and Local Government has supported a number of new services in 2007-08.

The aim of this guide is to inform and support local authorities' planning and commissioning of supported lodgings within the context of strategies to tackle youth homelessness. It is based on a review of supported lodgings services in 17 local authority areas in England, and of data collected through the Supporting People programme.",Free,1 October 2008,01-Oct-2008,"Good practice and guidance, Reports and summaries",9781409805427,http://www.communities.gov.uk/documents/housing/pdf/makingadifference.pdf,Making a difference: Supported lodgings as a housing option for young people,http://www.communities.gov.uk/documents/housing/doc/supportedlodgings.doc,Making a difference: Supported lodgings as a housing option for young people,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/mylandlordwants,department-for-communities-and-local-government,My landlord wants me out - protection against harassment and illegal eviction,improving-the-rented-housing-sector,,,,guidance,This booklet describes some of the forms harassment may take and sets out what people can do if they are being harassed or are threatened with illegal eviction.,Free,21 April 2009,21-Apr-2009,"Manuals leaflets and booklets, Good practice and guidance",9781409811107,http://www.communities.gov.uk/documents/housing/pdf/138298.pdf,My landlord wants me out: protection against harassment and illegal eviction,http://www.communities.gov.uk/documents/housing/doc/1206915.doc,My landlord wants me out - protection against harassment and illegal eviction,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/nationalframework,department-for-communities-and-local-government,National framework for tenant participation compacts,improving-the-rented-housing-sector,,,,guidance,"The National Framework for Tenant Participation Compacts provides a toolkit to help councils and tenants agree and implement effective arrangements for tenant involvement in their area. This updates the original National Framework published in 1999.

_Note on quality: the files attached to this page were converted from a legacy website by automatic process, and may contain minor formatting errors. The text of the document is complete and as originally published._",Free,21 March 2005,21-Mar-2005,"Good practice and guidance, Legislation and policy",,http://www.communities.gov.uk/documents/housing/pdf/138907.pdf,The National Framework for Tenant Participation Compacts,http://www.communities.gov.uk/documents/housing/rtf/156774.rtf,The National Framework for Tenant Participation Compacts,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/noticethatyou,department-for-communities-and-local-government,Notice that you must leave: a brief guide for landlords and tenants,improving-the-rented-housing-sector,,,,guidance,"This booklet explains the basic rules about bringing a residential tenancy (or licence) to an end:

  * either by the landlord or tenant serving notice to quit; or
  * by a landlord serving a notice of his or her intention to seek possession

Like the other booklets referred to in the text, it appears in the series of housing booklets produced jointly by the Department for Communities and Local Government and the Welsh Assembly Government.

It is divided into three sections:

  * notice by landlords
  * notice by tenants
  * licences",Free,21 April 2009,21-Apr-2009,"Manuals leaflets and booklets, Good practice and guidance",9781409810506,http://www.communities.gov.uk/documents/housing/pdf/138304.pdf,Notice that you must leave: a brief guide for landlords and tenants,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/optionssetting,department-for-communities-and-local-government,Options for setting up a Sanctuary Scheme,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"The Sanctuary Scheme is an innovative approach to homelessness prevention. It provides professionally installed security measures to allow those experiencing domestic violence to remain in their own accommodation where it is safe for them to do so, where it is their choice and where the perpetrator no longer lives within the accommodation.

This joint LGA and Communities and Local Government guidance aims to help local authorities and other key stakeholders set up and run effective schemes designed to help victims of domestic violence.",Free,19 December 2006,19-Dec-2006,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/154295.pdf,Options for Setting up a Sanctuary Scheme,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/p1ehomelessnessguidance,department-for-communities-and-local-government,P1E Guidance: Homelessness Prevention and Relief: Recording cases where positive action is taken to prevent or relieve homelessness,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This note provides guidance **(first issued in April 2008)** for local housing authorities about recording cases where homelessness is prevented or relieved for the purpose of the P1E data return. It supersedes the guidance issued in July 2005 in respect of BVPI 213, **which ceased to apply from April 2008**. This guidance will also be of relevance to partner organisations who work with, or on behalf of, local authorities to prevent and relieve homelessness. The aim of this note is to assist local authorities in the completion of section 10 of the P1E, and it is non-statutory guidance.",Free,14 December 2009,14-Dec-2009,"Good practice and guidance, Statistics",9781409821168,http://www.communities.gov.uk/documents/housing/pdf/1412057.pdf,P1E Guidance: Homelessness Prevention and Relief Recording cases where positive action is taken to prevent or relieve homelessness,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/personalsearchguide,department-for-communities-and-local-government,Personal searches of the local land charges register and other records held by local authorities: Good practice guidance for local authorities and personal searchers,helping-people-to-buy-a-home,,,,guidance,"**Note:** The Home Information Pack duties are suspended with immediate effect from 21 May 2010. This means that homes marketed for sale on or after this date will no longer require a Home Information Pack. However, _Energy Performance Certificates_ are still required.

This good practice guide provides advice to local authorities and personal searchers on providing access to property information held by local authorities used in property searches.

It follows on from the consultation paper _Delivering Property Searches: Good practice guidance for Local Authorities and personal searchers_ published in May 2007.",Free,18 January 2008,18-Jan-2008,"Good practice and guidance, Reports and summaries",,http://www.communities.gov.uk/publications/housing/personalsearchguide?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/personalsearchguide.pdf,Personal searches of the local land charges register and other records held by local authorities: Good practice guidance for local authorities and personal searchers,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/privatefinanceinitiative,department-for-communities-and-local-government,Private Finance Initiative Schemes for HRA/Non HRA Housing: Guidance for Authorities Making Proposals,increasing-the-number-of-available-homes,,,,guidance,"_This publication is provided for reference only._

Please see the [housing PFI publications](http://www.communities.gov.uk/publications/housing/privatefinanceinitiative) page for latest information.

The Spending Review 2004 announced £1.22 billion new Private Finance Initiative (PFI) credits for Local Authorities to refurbish homes and increase social housing for rent. This Guidance tells local authorities how to apply for these credits. The letter that went out with this guidance is also available as a download below.",Free,5 December 2005,05-Dec-2005,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/142718.pdf,Letter to Chief Executives and Housing Directors of all Local Authorities in England,http://www.communities.gov.uk/documents/housing/pdf/142805.pdf,Private Finance Initiative Schemes for HRA/Non HRA Housing: Guidance for Authorities Making Proposals,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelesssixteenseventeen,department-for-communities-and-local-government,Provision of accommodation for 16 and 17 year old young people who may be homeless and/or require accommodation,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"Statutory guidance was issued on 1 April 2010 to local authorities jointly by the Secretary of State for Children, Schools and Families and the Secretary of State for Communities and Local Government. It provides revised guidance for children's services authorities and local housing authorities about their respective duties under Part 3 of the _Children Act 1989_ and Part 7 of the _Housing Act 1996_ to secure or provide accommodation for homeless 16 and 17 year old children, following the judgment by the House of Lords in the case of _R(G) v London Borough of Southwark_ (2009).",Free,1 April 2010,01-Apr-2010,"Good practice and guidance, Reports and summaries",,http://education.gov.uk/publications/standard/publicationDetail/Page1/DCSF-15005-2010,Provision of accommodation for 16 and 17 year old young people who may be homeless and/or require accommodation,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/recordinghomelessnessprevention,department-for-communities-and-local-government,Recording Homelessness Prevention and relief at E10 of the P1E Quarterly Return: Further guidance for local housing authorities,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This note provides further non-statutory guidance for local housing authorities on how to record for the P1E quarterly return cases where homelessness is prevented or relieved. It supplements the guidance issued by Communities and Local Government (CLG) in April 2008, and has been produced to coincide with the publication of the first set of data on local authority performance on preventing and relieving homelessness, taken from the P1E returns. This guidance is also likely to be helpful for local authorities' partner organisations. This note contains:

  * Part 1: Supplementary guidance
  * Part 2: Frequently asked questions
  * Part 3: Table showing when assistance is homelessness prevention or relief.",Free,14 December 2009,14-Dec-2009,"Good practice and guidance, Statistics",9781409821182,http://www.communities.gov.uk/documents/housing/pdf/1412030,Recording Homelessness Prevention and relief at E10 of the P1E Quarterly Return: Further guidance for local housing authorities,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/reducingtherisks,department-for-communities-and-local-government,Reducing the risks - The Housing Health and Safety Rating System,improving-the-rented-housing-sector,,,,guidance,"The Housing Health and Safety Rating System (HHSRS) is a new risk assessment tool used to assess potential risks to the health and safety of occupants in residential properties in England and Wales. The legislation came into effect in England on 6 April 2006 and will come into effect in Wales later in 2006.

The new assessment method focuses on the hazards that are present in housing. Tackling these hazards will make housing healthier and safer to live in.",Free,7 April 2006,07-Apr-2006,Manuals leaflets and booklets,,http://www.communities.gov.uk/documents/housing/pdf/144527.pdf,Reducing the risks - The Housing Health and Safety Rating System,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/regulatedtenancies,department-for-communities-and-local-government,Regulated tenancies,improving-the-rented-housing-sector,,,,guidance,"Most lettings by private landlords which began before 15 January 1989 are regulated tenancies under the Rent Acts (see page 6), unless the landlord and tenant live in the same house. Part I of the Housing Act 1988 came into force on 15 January 1989, and it made important changes to the system of private renting. From that date most new lettings will be assured or assured shorthold tenancies (see page 8), and it will only be possible to have new regulated tenancies in very limited circumstances. This booklet sets out the law as it now affects regulated tenancies. It explains the main points of law, especially on rent and security of tenure, for both landlords and tenants.

The booklet refers to a number of other booklets about rented property. These form part of the series of housing booklets published by Department for Communities and Local Government and the Welsh Assembly Government. They are all free and you can get copies from rent officers, Citizens Advice Bureaux, housing aid centres and local authorities.",Free,21 April 2009,21-Apr-2009,"Manuals leaflets and booklets, Good practice and guidance",9781409810568,http://www.communities.gov.uk/documents/housing/pdf/138295.pdf,Regulated tenancies,http://www.communities.gov.uk/documents/housing/doc/1205781,Regulated Tenancies,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/rentingrooms,department-for-communities-and-local-government,Renting rooms in someone's home: a guide for people renting from resident landlords,improving-the-rented-housing-sector,,,,guidance,"You should read this booklet if you rent (or are thinking of renting) in a property where the landlord also lives. In law, a resident landlord letting is one where the landlord and the person he or she lets to live in the same building. This includes conversions where they live in different parts of the same property (however long ago it was converted).",Free,21 April 2006,21-Apr-2006,"Manuals leaflets and booklets, Good practice and guidance",9781409810483,http://www.communities.gov.uk/publications/housing/rentingrooms?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/138292.pdf,Renting rooms in someone's home - guide for people renting from resident landlords,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/booklet,department-for-communities-and-local-government,Residential long leaseholders - a guide to your rights and responsibilities,improving-the-rented-housing-sector,,,,guidance,"This advisory book tells you about the rights and responsibilities which currently apply to long leaseholders in England. Some of these rights and responsibilities also apply to long leaseholders of properties in Wales, and if this is the case, you should refer to the specific paragraph for Wales to establish which ones apply.

It is primarily for long leaseholders of flats (including maisonettes) and houses, but may also be of interest to landlords and their agents. In this booklet 'tenant' is used to describe both long leaseholders and other tenants.

You may find it useful to use the bookmarks provided in the Adobe Acrobat PDF to navigate through the leasehold topics in this guidance.",Free,1 July 2007,01-Jul-2007,"Good practice and guidance, Manuals leaflets and booklets",9781409809593,http://www.communities.gov.uk/publications/housing/booklet?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/leaflet.pdf,Residential Long Leaseholders - A guide to your rights and responsibilities,http://www.communities.gov.uk/documents/housing/doc/1142719.doc,Residential Long Leaseholders - A guide to your rights and responsibilities,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/residentchoiceguidance,department-for-communities-and-local-government,"Residents’ choice: Guidance on tenant management and other options supported
through the Tenant Empowerment Programme",improving-the-rented-housing-sector,,,,guidance,This handbook gives guidance to residents living in social housing who are considering taking control of housing and related services. It looks at how residents can get advice and consider their choices for having more influence over services in their neighbourhood. It explains how to setup a Tenant Management Organisation (TMO) or negotiate a local management agreement.,Free,1 October 2008,01-Oct-2008,"Reports and summaries, Good practice and guidance",9781409805441,http://www.communities.gov.uk/publications/housing/residentchoiceguidance?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/residentchoiceguidance.pdf,"Residents' choice: Guidance on tenant management and other options supported
through the Tenant Empowerment Programme",http://www.communities.gov.uk/documents/housing/doc/residentschoiceguidance.doc,Residents' choice - Guidance on tenant management and other options supported through the Tenant Empowerment Programme,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/housingmanagementagreements,department-for-communities-and-local-government,Section 27 of The Housing Act 1985: The General Approval for Housing Management Agreements 2009,improving-the-rented-housing-sector,,,,guidance,"The Secretary of State in exercise of the powers conferred by section 27(6), (11) and (12) of the Housing Act 1985(a) and in all powers enabling her in that behalf, gives the following general approval.

The General Approval for Housing Management Agreements 2009 is available below to download.",Free,23 February 2009,23-Feb-2009,Circular and official letters,,http://www.communities.gov.uk/documents/housing/pdf/1154341,Section 27 of The Housing Act 1985: The General Approval for Housing Management Agreements 2009,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/housingfraudtoolkit,department-for-communities-and-local-government,Social housing fraud communications toolkit,improving-the-rented-housing-sector,,,,guidance,"To help deliver the campaign locally Communities and Local Government have produced a marketing toolkit for local authorities and social housing landlords.

The toolkit contains template leaflets and posters that are fully adaptable to include landlord's logos and contact details. Amending, printing and distribution of the marketing materials are the responsibility of the social housing landlord. Examples of the toolkit posters and leaflets are available for download below.

_Adobe InDesign_ formats are required to adapt the leaflets and posters for local use. If you are a local authority or social housing landlord you may order the free _InDesign_ format disk of the toolkit, by quoting: the product code (listed above), your name, your organisation and your delivery address (_See_ Order below).

For further information and advice on using the toolkit please read the _Communications Toolkit_  document below.",Free,30 November 2009,30-Nov-2009,Manuals leaflets and booklets,9781409820536,http://www.communities.gov.uk/publications/housing/housingfraudtoolkit?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/1396682.pdf,Social Housing Fraud Communications Toolkit,http://www.communities.gov.uk/documents/housing/pdf/1396519.pdf,Help Stop Housing Cheats (poster),http://www.communities.gov.uk/documents/housing/pdf/1396574.pdf,Help Stop Housing Cheats (leaflet),http://www.communities.gov.uk/documents/housing/pdf/1396633.pdf,Blow the whistle on housing cheats (poster),http://www.communities.gov.uk/documents/housing/pdf/1396656.pdf,Blow the whistle on housing cheats (leaflet),,,,,,
