Link,OffDocTopic,GOVUK Topic
http://www.official-documents.gov.uk/document/cm86/8622/8622.asp ,Students,Higher education
http://www.official-documents.gov.uk/document/cm86/8623/8623.asp ,"Government, politics and public administration","Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8623/8623.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm86/8623/8623.asp ,Local government structure,Local government
http://www.official-documents.gov.uk/document/cm86/8623/8623.asp ,Local government,Local government
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Business and industry,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Business management,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Business practice and regulation,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Care,Social care
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Constitution,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Day care,Children and young people
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Economics and finance,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Public administration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Public expenditure,Government spending
http://www.official-documents.gov.uk/document/cm86/8624/8624.asp ,Public finance,Government spending
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,"Employment, jobs and careers",Employment
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Care,Social care
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Dental health,National Health Service
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Health and safety inspections,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Health and social care professionals,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,NHS management,National Health Service
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,People,Social care
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Ports and harbours,Transport
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/cm86/8625/8625.asp ,Water transport,Transport
http://www.official-documents.gov.uk/document/cm86/8626/8626.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8626/8626.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8626/8626.asp ,Defence policy,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8626/8626.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8627/8627.asp ,Carer support,Social care
http://www.official-documents.gov.uk/document/cm86/8627/8627.asp ,Communication,Media and communications
http://www.official-documents.gov.uk/document/cm86/8627/8627.asp ,Consultation,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8627/8627.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8627/8627.asp ,Public consultation,Government spending
http://www.official-documents.gov.uk/document/cm86/8627/8627.asp ,Public relations,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8628/8628.asp ,Small businesses,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8628/8628.asp ,What's on,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8629/8629.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8629/8629.asp ,National security,National security
http://www.official-documents.gov.uk/document/cm86/8629/8629.asp ,Networking,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8629/8629.asp ,Security,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8630/8630.asp ,Business sectors,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8630/8630.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8630/8630.asp ,Distribution and service industries,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8630/8630.asp ,Enquiry services,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8630/8630.asp ,Library and information services,Local government
http://www.official-documents.gov.uk/document/cm86/8631/8631.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/cm86/8631/8631.asp ,Energy efficiency,Energy
http://www.official-documents.gov.uk/document/cm86/8631/8631.asp ,Entertainment and events,Arts and culture
http://www.official-documents.gov.uk/document/cm86/8631/8631.asp ,What's on,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,"Employment, jobs and careers",Employment
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Business and industry,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Business management,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Business practice and regulation,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Data analysis,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Doctors,National Health Service
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Employment terms and conditions,Employment
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Ethnic communities,Borders and immigration
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Health and social care professionals,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Minority groups,Borders and immigration
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Pay,Employment
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8632/8632.asp ,Public administration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,"Plants, animals and wildlife",Environment
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,Biodiversity,Wildlife and animal welfare
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,Environmental protection,Environment
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,International trade,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8633/8633.asp ,Nature conservation,Environment
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Addiction,National Health Service
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Call centres,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Housing associations,Housing
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Housing,Housing
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Landlords,Housing
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Learning disabilities,Further education and skills
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Learning skills,Further education and skills
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Library and information services,Local government
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Life in the community,Social care
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Private rented accommodation,Housing
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Rented housing,Housing
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Skills and competences,Further education and skills
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Social fund payments,Welfare
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Social housing,Housing
http://www.official-documents.gov.uk/document/cm86/8635/8635.asp ,Social issues,Community and society
http://www.official-documents.gov.uk/document/cm86/8636/8636.asp ,Foreign policy,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Community planning partnerships,Community and society
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Councils,Local government
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Partnerships,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Voluntary services,Community and society
http://www.official-documents.gov.uk/document/cm86/8638/8638.asp ,Volunteering,Community and society
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,"School welfare, behaviour and attendance",Schools
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Care for disabled people,Social care
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Day care,Children and young people
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Public services,Government spending
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Road traffic offences,Transport
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,School performance and standards,Schools
http://www.official-documents.gov.uk/document/cm86/8639/8639.asp ,Schools,Schools
http://www.official-documents.gov.uk/document/cm86/8641/8641.asp ,Culture and creativity,Arts and culture
http://www.official-documents.gov.uk/document/cm86/8641/8641.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm86/8641/8641.asp ,Visual arts,Arts and culture
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,"Employment, jobs and careers",Employment
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Buses,Transport
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Countryside,Rural and countryside
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Drinks,UK economy
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Driving licences,Transport
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Employment regulations,Employment
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Entertainment and events,Arts and culture
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Entertainment licences,Arts and culture
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Environment,Environment
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Food and drink,Food and farming
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Insolvency,Tax and revenue
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Land and premises,Planning and building
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Maladministration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Public transport,Transport
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Regulation and deregulation,Regulation reform
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Rights of way,Rural and countryside
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Roads and highways,Transport
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm86/8642/8642.asp ,Vehicles,Transport
http://www.official-documents.gov.uk/document/cm86/8643/8643.asp ,Flooding,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8643/8643.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8643/8643.asp ,Regulation and deregulation,Regulation reform
http://www.official-documents.gov.uk/document/cm86/8643/8643.asp ,Water abstraction licences,Environment
http://www.official-documents.gov.uk/document/cm86/8643/8643.asp ,Water quality,Environment
http://www.official-documents.gov.uk/document/cm86/8643/8643.asp ,Water resources,Environment
http://www.official-documents.gov.uk/document/cm86/8644/8644.asp ,Commonwealth,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8644/8644.asp ,Foreign policy,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8645/8645.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8645/8645.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8645/8645.asp ,Personal security,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8645/8645.asp ,Security,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8645/8645.asp ,United Nations,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8646/8646.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8646/8646.asp ,United Nations,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,Pollution,Environment
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,Public transport,Transport
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,Rail transport,Transport
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm86/8647/8647.asp ,United Nations,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8648/8648.asp ,Contracts,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8648/8648.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8648/8648.asp ,Freedom of information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8648/8648.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8649/8649.asp ,Contracts,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8649/8649.asp ,Freedom of information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8649/8649.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8649/8649.asp ,National security,National security
http://www.official-documents.gov.uk/document/cm86/8649/8649.asp ,Security,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8650/8650.asp ,Advice agencies,Community and society
http://www.official-documents.gov.uk/document/cm86/8650/8650.asp ,Citizenship,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,Advice agencies,Community and society
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,Freedom of information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,Immigration and nationality,Borders and immigration
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8651/8651.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8653/8653.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8653/8653.asp ,European Parliament,Europe
http://www.official-documents.gov.uk/document/cm86/8653/8653.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm86/8653/8653.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm86/8653/8653.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8653/8653.asp ,Small businesses,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8655/8655.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8655/8655.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8655/8655.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8655/8655.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/cm86/8655/8655.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8655/8655.asp ,Small businesses,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Business sectors,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Charities,Community and society
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Corporation tax,Tax and revenue
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Distribution and service industries,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Friendly societies,Community and society
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Income tax,Tax and revenue
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Nuclear energy,Energy
http://www.official-documents.gov.uk/document/cm86/8656/8656.asp ,Tax,Tax and revenue
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,"Public order, justice and rights",Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,Business and industry,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,Consumer affairs,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,Consumer protection,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,Consumer rights,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8657/8657.asp ,Pricing,UK economy
http://www.official-documents.gov.uk/document/cm86/8658/8658.asp ,Judiciary,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8658/8658.asp ,Justice system,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8659/8659.asp ,School performance and standards,Schools
http://www.official-documents.gov.uk/document/cm86/8659/8659.asp ,School types,Schools
http://www.official-documents.gov.uk/document/cm86/8659/8659.asp ,Teachers and school staff,Schools
http://www.official-documents.gov.uk/document/cm86/8660/8660.asp ,Business sectors,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8660/8660.asp ,Distribution and service industries,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8660/8660.asp ,International aid organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8660/8660.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8660/8660.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8660/8660.asp ,Legislation,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8661/8661.asp ,Business sectors,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8661/8661.asp ,Distribution and service industries,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8662/8662.asp ,National security,National security
http://www.official-documents.gov.uk/document/cm86/8662/8662.asp ,Security,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Business and industry,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Business management,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Business practice and regulation,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Economics and finance,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Public administration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Public expenditure,Government spending
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Public finance,Government spending
http://www.official-documents.gov.uk/document/cm86/8663/8663.asp ,Public funding,Government spending
http://www.official-documents.gov.uk/document/cm86/8665/8665.asp ,Prisons,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8665/8665.asp ,Sentencing,Law and the justice system
http://www.official-documents.gov.uk/document/cm86/8667/8667.asp ,International aid organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8668/8668.asp ,Personal finance,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm86/8669/8669.asp ,Home care,Social care
http://www.official-documents.gov.uk/document/cm86/8669/8669.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8669/8669.asp ,Population and migration,Borders and immigration
http://www.official-documents.gov.uk/document/cm86/8669/8669.asp ,Roads and highways,Transport
http://www.official-documents.gov.uk/document/cm86/8671/8671.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm86/8671/8671.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm86/8671/8671.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Communication,Media and communications
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Consultation,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Consumer affairs,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Consumer protection,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Information and communication,Media and communications
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Land and premises,Planning and building
http://www.official-documents.gov.uk/document/cm86/8672/8672.asp ,Planning (town and country),Planning and building
http://www.official-documents.gov.uk/document/cm86/8673/8673.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/cm86/8673/8673.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/cm86/8673/8673.asp ,Energy conservation,Energy
http://www.official-documents.gov.uk/document/cm86/8673/8673.asp ,Energy efficiency,Energy
http://www.official-documents.gov.uk/document/cm86/8673/8673.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm86/8673/8673.asp ,Healthy living,National Health Service
http://www.official-documents.gov.uk/document/cm86/8674/8674.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/cm86/8674/8674.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8674/8674.asp ,Renewable energy,Energy
http://www.official-documents.gov.uk/document/cm86/8675/8675.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/cm86/8675/8675.asp ,Ambulance services,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8675/8675.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm86/8675/8675.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm86/8675/8675.asp ,NHS management,National Health Service
http://www.official-documents.gov.uk/document/cm86/8676/8676.asp ,Public transport,Transport
http://www.official-documents.gov.uk/document/cm86/8676/8676.asp ,Rail transport,Transport
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Adapting homes,Planning and building
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Care for older people,Social care
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Care,Social care
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Entertainment and events,Arts and culture
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Housing repairs and renovation,Housing
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Housing,Housing
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Older people,Pensions and ageing society
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Population and migration,Borders and immigration
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Public administration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,Public services,Government spending
http://www.official-documents.gov.uk/document/cm86/8677/8677.asp ,What's on,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8679/8679.asp ,Road and pathway maintenance,Transport
http://www.official-documents.gov.uk/document/cm86/8679/8679.asp ,Roads and highways,Transport
http://www.official-documents.gov.uk/document/cm86/8679/8679.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,Firearms,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,International trade,Trade and investment
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,Manufacturing,UK economy
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,Organisations,Business and enterprise
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,People and organisations,Social care
http://www.official-documents.gov.uk/document/cm86/8680/8680.asp ,United Nations,Foreign affairs
http://www.official-documents.gov.uk/document/cm86/8681/8681.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8681/8681.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm86/8685/8685.asp ,Committees,"Government efficiency, transparency and accountability"
